STRUKTUR,WELL_NAME,DEPTH,GR,NPHI,RHOB,RT,MARKER,ZONE,CALI,DT,HLLD,HLLS,LLS,MSFL,PEF,RHOZ,RXOZ,SP,DRHO
GNK,GNK-058,1509.217,,-9.9925,-999.25,,,,,,,,,,,,,,
GNK,GNK-058,1509.3694,,-9.9925,-999.25,,,,,,,,,,,,,,
GNK,GNK-058,1509.5218,,-9.9925,-999.25,,,,,,,,,,,,,,
GNK,GNK-058,1509.6742,,-9.9925,-999.25,,,,,,,,,,,,,,
GNK,GNK-058,1509.8266,,-9.9925,-999.25,,,,,,,,,,,,,,
GNK,GNK-058,1509.979,,-9.9925,-999.25,,,,,,,,,,,,,,
GNK,GNK-058,1510.1314,,-9.9925,-999.25,,,,,,,,,,,,,,
GNK,GNK-058,1510.2838,61.8517,0.074,-25.2320996,,,,,,,,,,,,,,
GNK,GNK-058,1510.4362,89.5469,0.3694,2.2641999999999998,,,,,,,,,,,,,,
GNK,GNK-058,1510.5886,85.2648,0.3657,2.2778999,,,,,,,,,,,,,,
GNK,GNK-058,1510.741,80.9078,0.3495,2.3128,,,,,,,,,,,,,,
GNK,GNK-058,1510.8934,76.9466,0.3437,2.3397997999999998,,,,,,,,,,,,,,
GNK,GNK-058,1511.0458,76.4606,0.3287,2.3815999000000003,-45.8694,,,,,,,,,,,,,
GNK,GNK-058,1511.1982,77.2761,0.3171,2.3885,1.1526,,,,,,,,,,,,,
GNK,GNK-058,1511.3506,78.1597,0.3153,2.3684000999999997,1.103,,,,,,,,,,,,,
GNK,GNK-058,1511.503,80.2127,0.3213,2.3468999,1.0741,,,,,,,,,,,,,
GNK,GNK-058,1511.6554,81.9007,0.3254,2.3264001,1.0557,,,,,,,,,,,,,
GNK,GNK-058,1511.8078,83.9261,0.325,2.3196999999999997,1.0379,,,,,,,,,,,,,
GNK,GNK-058,1511.9602,85.987,0.3255,2.3057,0.9784,,,,,,,,,,,,,
GNK,GNK-058,1512.1126,86.1992,0.3342,2.2837997999999997,0.9753,,,,,,,,,,,,,
GNK,GNK-058,1512.265,85.214,0.3452,2.2769000999999998,0.9766,,,,,,,,,,,,,
GNK,GNK-058,1512.4174,85.1734,0.3448,2.2837997999999997,1.0117,,,,,,,,,,,,,
GNK,GNK-058,1512.5698,85.2212,0.3338,2.2918000000000003,1.0685,,,,,,,,,,,,,
GNK,GNK-058,1512.7222,84.2038,0.3235,2.2837997999999997,1.066,,,,,,,,,,,,,
GNK,GNK-058,1512.8746,81.2538,0.3284,2.2857002000000004,1.0235,,,,,,,,,,,,,
