STRUKTUR,WELL_NAME,DEPTH,GR,NPHI,RHOB,RT,MARKER,ZONE,CALI,DT,HLLD,HLLS,LLS,MSFL,PEF,RHOZ,RXOZ,SP,DRHO
GNK,GNK-079,78.0203,-999.25,-1013.8602,,,,,,64.159,-999.25,-999.25,,,-999.25,-1013.8772,-999.25,,
GNK,GNK-079,78.1727,-999.25,-751.9077,,,,,,64.159,-999.25,-999.25,,,-999.25,-751.6198,-999.25,,
GNK,GNK-079,78.3251,-952.4662,-40.5861,,,,,,64.159,-953.9565,-953.9544,,,-999.25,-39.4698,0.3818,,
GNK,GNK-079,78.4775,-21.7218,0.5805,,,,,,64.159,-52.9592,-52.9163,,,-999.25,1.7244,0.3876,,
GNK,GNK-079,78.6299,33.2646,0.6454,,,,,,64.159,0.1044,0.149,,,-999.25,1.7299,0.3795,,
GNK,GNK-079,78.7823,32.7503,0.623,,,,,,64.159,0.1026,0.149,,,-999.25,1.7516,0.3903,,
GNK,GNK-079,78.9347,32.9791,0.6308,,,,,,64.159,0.1045,0.149,,,-999.25,1.7588,0.374,,
GNK,GNK-079,79.0871,31.0851,0.6417,,,,,,64.159,0.1047,0.149,,,-999.25,1.7447,0.3692,,
GNK,GNK-079,79.2395,30.2629,0.6761,,,,,,64.159,0.1043,0.149,,,-999.25,1.7262,0.3851,,
GNK,GNK-079,79.3919,30.3841,0.7253,,,,,,64.159,0.1046,0.149,,,-999.25,1.7166,0.386,,
GNK,GNK-079,79.5443,30.489,0.6858,,,,,,64.159,0.1046,0.149,,,-999.25,1.7118,0.3832,,
GNK,GNK-079,79.6967,31.4122,0.6798,,,,,,64.159,0.1054,0.149,,,-999.25,1.7143,0.3717,,
GNK,GNK-079,79.8491,32.1337,0.7162,,,,,,64.159,0.1052,0.149,,,-999.25,1.7214,0.3682,,
GNK,GNK-079,80.0015,33.4043,0.8036,,,,,,64.159,0.1053,0.149,,,-999.25,1.7311,0.3727,,
GNK,GNK-079,80.1539,34.0367,0.8045,,,,,,64.159,0.1058,0.149,,,-999.25,1.7454,0.3787,,
GNK,GNK-079,80.3063,35.2524,0.8252,,,,,,64.159,0.106,0.149,,,-999.25,1.7705,0.3705,,
GNK,GNK-079,80.4587,36.7998,0.8611,,,,,,64.159,0.106,0.149,,,-999.25,1.7872,0.3643,,
GNK,GNK-079,80.6111,37.3321,0.8246,,,,,,64.159,0.1063,0.149,,,-999.25,1.7918,0.3659,,
GNK,GNK-079,80.7635,35.5108,0.726,,,,,,64.159,0.1065,0.149,,,-999.25,1.7865,0.366,,
GNK,GNK-079,80.9159,32.3425,0.6731,,,,,,64.159,0.1065,0.149,,,-999.25,1.7785,0.366,,
GNK,GNK-079,81.0683,30.4818,0.6633,,,,,,64.159,0.1068,0.149,,,-999.25,1.7739,0.3858,,
GNK,GNK-079,81.2207,30.7847,0.7043,,,,,,64.159,0.107,0.149,,,-999.25,1.7646,0.3785,,
GNK,GNK-079,81.3731,32.5894,0.7339,,,,,,64.159,0.1067,0.149,,,-999.25,1.7578,0.36,,
GNK,GNK-079,81.5255,34.1505,0.7562,,,,,,64.159,0.1065,0.149,,,-999.25,1.7543,0.3751,,
GNK,GNK-079,81.6779,34.445,0.7345,,,,,,64.159,0.1068,0.149,,,-999.25,1.7517,0.3732,,
GNK,GNK-079,81.8303,33.5766,0.6742,,,,,,64.159,0.107,0.149,,,-999.25,1.7543,0.3626,,
GNK,GNK-079,81.9827,32.4524,0.6041,,,,,,61.6402,0.107,0.149,,,-999.25,1.7616,0.3677,,
