STRUKTUR,WELL_NAME,DEPTH,GR,NPHI,RHOB,RT,MARKER,ZONE,CALI,DT,HLLD,HLLS,LLS,MSFL,PEF,RHOZ,RXOZ,SP,DRHO
GNK,GNK-061,1397.048,66.8372,-9.9925,2.2116001,1.0331,,,,,,,,,,,,,
GNK,GNK-061,1397.2004,66.8157,0.3254,2.234,1.1007,,,,,,,,,,,,,
GNK,GNK-061,1397.3528,66.7795,0.326,2.2842,1.1317,,,,,,,,,,,,,
GNK,GNK-061,1397.5052,66.3497,0.3259,2.3085,1.2965,,,,,,,,,,,,,
GNK,GNK-061,1397.6576,65.1312,0.3234,2.3183998999999997,1.4064,,,,,,,,,,,,,
GNK,GNK-061,1397.81,64.7131,0.3152,2.3155999,1.4721,,,,,,,,,,,,,
GNK,GNK-061,1397.9624,65.0621,0.3087,2.306,1.5667,,,,,,,,,,,,,
GNK,GNK-061,1398.1148,65.4205,0.3128,2.3068999,1.5523,,,,,,,,,,,,,
GNK,GNK-061,1398.2672,65.4033,0.3205,2.3167,1.552,,,,,,,,,,,,,
GNK,GNK-061,1398.4196,64.9701,0.3192,2.3282002000000004,1.5517,,,,,,,,,,,,,
GNK,GNK-061,1398.572,64.1583,0.3167,2.3315,1.5656,,,,,,,,,,,,,
GNK,GNK-061,1398.7244,64.1141,0.314,2.3427,1.58,,,,,,,,,,,,,
GNK,GNK-061,1398.8768,63.6939,0.3142,2.3396999999999997,1.6084,,,,,,,,,,,,,
GNK,GNK-061,1399.0292,63.5778,0.3212,2.2977,1.6382,,,,,,,,,,,,,
GNK,GNK-061,1399.1816,60.8655,0.3265,2.2748000000000004,1.6862,,,,,,,,,,,,,
GNK,GNK-061,1399.334,60.4895,0.3209,2.2539000999999996,1.8097,,,,,,,,,,,,,
GNK,GNK-061,1399.4864,62.4906,0.3122,2.2541001,1.8546,,,,,,,,,,,,,
GNK,GNK-061,1399.6388,66.0173,0.3058,2.2674000999999997,1.7856,,,,,,,,,,,,,
GNK,GNK-061,1399.7912,69.1296,0.3,2.3148999,1.6789,,,,,,,,,,,,,
GNK,GNK-061,1399.9436,70.6173,0.3013,2.3232,1.6639,,,,,,,,,,,,,
GNK,GNK-061,1400.096,70.1854,0.3148,2.327,1.6625,,,,,,,,,,,,,
GNK,GNK-061,1400.2484,68.8191,0.3298,2.3266999999999998,1.6513,,,,,,,,,,,,,
GNK,GNK-061,1400.4008,64.9694,0.3451,2.3375,1.7129,,,,,,,,,,,,,
GNK,GNK-061,1400.5532,63.7698,0.3509,2.3506001000000003,1.7913,,,,,,,,,,,,,
GNK,GNK-061,1400.7056,63.7528,0.3338,2.3548,1.8542,,,,,,,,,,,,,
GNK,GNK-061,1400.858,64.1834,0.308,2.3605,1.8661,,,,,,,,,,,,,
GNK,GNK-061,1401.0104,65.294,0.3004,2.3496001,1.8176,,,,,,,,,,,,,
GNK,GNK-061,1401.1628,65.6105,0.3114,2.334,1.8028,,,,,,,,,,,,,
GNK,GNK-061,1401.3152,65.2217,0.3187,2.3206001,1.8201,,,,,,,,,,,,,
GNK,GNK-061,1401.4676,65.2555,0.3176,2.3125,1.8494,,,,,,,,,,,,,
GNK,GNK-061,1401.62,66.1381,0.3167,2.301,1.8318,,,,,,,,,,,,,
GNK,GNK-061,1401.7724,68.4781,0.321,2.2715,1.8161,,,,,,,,,,,,,
GNK,GNK-061,1401.9248,70.8499,0.3245,2.2617,1.8157,,,,,,,,,,,,,
GNK,GNK-061,1402.0772,72.9521,0.3253,2.2695999000000002,1.8208,,,,,,,,,,,,,
GNK,GNK-061,1402.2296,71.9222,0.3213,2.3015,1.8929,,,,,,,,,,,,,
GNK,GNK-061,1402.382,68.4686,0.3149,2.3275,2.019,,,,,,,,,,,,,
GNK,GNK-061,1402.5344,66.5757,0.3069,2.3582002,2.1594,,,,,,,,,,,,,
GNK,GNK-061,1402.6868,66.2726,0.3007,2.3541999999999996,2.1956,,,,,,,,,,,,,
GNK,GNK-061,1402.8392,67.6199,0.3018,2.3443,2.2011,,,,,,,,,,,,,
GNK,GNK-061,1402.9916,70.4255,0.3055,2.3445,2.1905,,,,,,,,,,,,,
GNK,GNK-061,1403.144,70.2053,0.3022,2.3638999,2.3458,,,,,,,,,,,,,
GNK,GNK-061,1403.2964,67.8498,0.2921,2.3743999,2.4204,,,,,,,,,,,,,
GNK,GNK-061,1403.4488,65.9924,0.2923,2.3722,2.375,,,,,,,,,,,,,
GNK,GNK-061,1403.6012,66.0695,0.3122,2.3563999,2.1539,,,,,,,,,,,,,
