STRUKTUR,WELL_NAME,DEPTH,GR,NPHI,RHOB,RT,MARKER,ZONE,CALI,DT,HLLD,HLLS,LLS,MSFL,PEF,RHOZ,RXOZ,SP,DRHO
BNG,BNG-054,1569.4152,68.9152,0.4719,4.19325,0.0033,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1569.5676,78.3849,0.475,3.6234299,0.0027,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1569.72,91.3082,0.4941,2.9357800000000003,0.0069,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1569.8724,96.4091,0.4829,2.5958301,0.0372,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1570.0248,98.8443,0.4495,2.4027399999999997,0.2018,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1570.1772,96.5569,0.4634,2.3188901,0.4399,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1570.3296,103.8907,0.486,2.3139198999999997,0.5746,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1570.482,102.0303,0.4891,2.2741699,0.6624,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1570.6344,102.2502,0.4832,2.23004,0.7102,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1570.7868,101.0876,0.4601,2.21573,0.7619,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1570.9392,111.1624,0.447,2.2641201,0.6785,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1571.0916,114.8083,0.4269,2.3336899,0.7599,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1571.244,115.2699,0.4275,2.38396,0.8333,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1571.3964,112.6901,0.4414,2.4013501,0.8505,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1571.5488,112.6886,0.4447,2.4079001,0.8757,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1571.7012,115.4484,0.4505,2.4082399999999997,0.8798,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1571.8536,115.9545,0.4418,2.40548,0.9113,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1572.006,115.2818,0.423,2.40273,0.9778,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1572.1584,107.031,0.4328,2.3968998999999998,1.0235,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1572.3108,103.4862,0.4583,2.38653,1.0498,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1572.4632,101.9643,0.4589,2.33675,1.0449,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1572.6156,106.44,0.4559,2.2894102,1.0227,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1572.768,105.1659,0.4648,2.2770900999999997,0.9762,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1572.9204,108.8073,0.4688,2.3556899,1.0019,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1573.0728,109.5948,0.4334,2.4259199,1.1931,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1573.2252,110.9251,0.3922,2.45374,1.2337,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1573.3776,115.2255,0.3547,2.4328201,1.2565,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1573.53,120.0492,0.3515,2.4095701,1.225,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1573.6824,124.0828,0.3577,2.38773,1.202,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1573.8348,118.052,0.3632,2.35996,1.1694,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1573.9872,116.7957,0.3697,2.3673,1.0343,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1574.1396,114.8136,0.3605,2.393,1.1455,TOP GUF,,,,,,,,,,,,
BNG,BNG-054,1574.292,119.0675,0.3751,2.43124,1.2044,TOP GUF,,,,,,,,,,,,
