STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,VSH_GR,VSH,RHOB_SR,NPHI_SR,PHIE_DEN,PHIT_DEN,PHIE,PHIT,RHO_MAT,IQUAL,RGBE,R_RGBE,RPBE,R_RPBE,RW_TEMP,SW,RWA_FULL,RWA_SIMPLE,RWA_TAR,CT,FTEMP,A_PARAM,M_PARAM,N_PARAM,RTSH,SWARRAY_1,SWARRAY_2,SWARRAY_3,SWARRAY_4,SWARRAY_5,SWARRAY_6,SWARRAY_7,SWARRAY_8,SWARRAY_9,SWARRAY_10,SWARRAY_11,SWARRAY_12,SWARRAY_13,SWARRAY_14,SWARRAY_15,SWARRAY_16,SWARRAY_17,SWARRAY_18,SWARRAY_19,SWARRAY_20,SWARRAY_21,SWARRAY_22,SWARRAY_23,SWARRAY_24,SWARRAY_25,SWGRAD,DNS,DNSV,A,M,N,RW,RWA,RO,RT_RO,GROUP_ID,RT_R0_GRAD,PHIE_RTR0_GRAD,FLUID_RTROPHIE,PHIE_DEN.1,PHIT_DEN.1,NOD
ABAB,ABB-138,1702.4604,8.8861,37.3541,51.6439,1.4202,0.2779,2.1576,E,0.2404877777777778,0.2404877777777778,2.0650160702556173,0.255070652070554,0.2520666110055438,0.2746123401722105,0.2278536666666666,0.2503993958333332,2.594048119330027,1,-0.515261108325427,0.24066176659650074,1.545783324976421,0.24066176659652264,1.2951379310344828,1.0,0.0895623877092434,0.0873496310641022,0.0919488777536146,0.7041261794113506,160.12302,1,1.8,1.8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.981802765369667,0.9570308237108768,0.93433410810256,0.9134284517298424,0.8940825228665963,0.8761056543746253,0.8593389657629265,0.8436487671374953,0.8289215780560107,0.8150603107408029,0.8019813069224028,0.7896120099849532,0.777889116406624,-0.0151403598349038,0.0451409356725146,0.1121540503573748,1,1.8,1.8,1,0.0991129373895463,3.3104437393060646,-1.8902437393060647,76,0.7484718628794996,-24.354060301123464,W,0.2520666110055438,0.2746123401722105,15.0
ABAB,ABB-138,1702.6128,8.9369,38.6111,50.4018,1.1097,0.2687,2.1559,E,0.2266866666666666,0.2266866666666666,2.0696884402182816,0.2448679707233808,0.2520983235034341,0.273350198503434,0.231994,0.253245875,2.587069285674054,1,-0.515261108325427,0.24066176659650074,1.545783324976421,0.24066176659652264,1.2951379310344828,1.0,0.0706144718642064,0.0690528462463036,0.0723583893428897,0.901144453455889,160.13064000000003,1,1.8,1.8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9926305682993825,0.9740988212214712,0.9567179024653584,0.9403708125281526,0.924956839174266,0.9103887198445708,0.8965903907606471,-0.0067226001299317,0.0553350877192982,0.1185024541910332,1,1.8,1.8,1,0.0799951655331243,3.471575959273218,-2.3618759592732177,76,0.7484718628794996,-24.354060301123464,W,0.2520983235034341,0.273350198503434,15.0
ABAB,ABB-138,1702.7652,8.9369,36.8673,49.3173,1.3612,0.2675,2.1622,E,0.2146366666666667,0.2146366666666667,2.0835454078579336,0.2449530790419721,0.2520694289907455,0.2721916164907455,0.2356089999999999,0.2557311874999999,2.5956995315413653,1,-0.515261108325427,0.24066176659650074,1.545783324976421,0.24066176659652264,1.2951379310344828,1.0,0.0899003804923109,0.0878967118092673,0.0921183923211173,0.7346459006758742,160.13826,1,1.8,1.8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9979644004831114,0.9731934142354608,0.9504243457241917,0.9293943012293828,0.9098871760677016,0.8917233396756592,0.874751992986905,0.8588454118319298,0.8438945466735217,0.8298056143022169,0.816497426085927,0.803899270691145,-0.0137348721835024,0.0528508771929824,0.1126604512670565,1,1.8,1.8,1,0.1008944592888324,3.622181176011413,-2.2609811760114136,76,0.7484718628794996,-24.354060301123464,W,0.2520694289907455,0.2721916164907455,15.0
ABAB,ABB-138,1702.9176,8.8608,37.2292,51.5613,1.53,0.275,2.1699,E,0.23957,0.23957,2.081655773706982,0.2513715923885171,0.2465803716995143,0.2690400591995143,0.2281289999999999,0.2505886874999999,2.6007085627762887,1,-0.515261108325427,0.24066176659650074,1.545783324976421,0.24066176659652264,1.2951379310344828,1.0,0.0972080480968738,0.0947778789677679,0.0998050411120853,0.6535947712418301,160.14588,1,1.8,1.8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977062117941642,0.9687740264574032,0.9426122400378076,0.918788961940986,0.8969631758632919,0.8768611959630732,0.8582602451744595,0.840976724417762,0.8248576562874038,0.8097743285714329,0.7956174944544877,0.7822936950004925,0.7697224043471098,0.7578337871421014,0.7465669178422628,-0.0169497618753014,0.0408479532163741,0.1076053245614034,1,1.8,1.8,1,0.1070080191939995,3.320800863026344,-1.790800863026344,76,0.7484718628794996,-24.354060301123464,W,0.2465803716995143,0.2690400591995143,15.0
ABAB,ABB-138,1703.07,8.8608,37.1875,48.7051,1.2243,0.2491,2.1716,E,0.2078344444444444,0.2078344444444444,2.098558312025124,0.2226276353568067,0.2425855065574879,0.2620699857241546,0.2376496666666666,0.2571341458333332,2.5834636958566444,1,-0.515261108325427,0.24066176659650074,1.545783324976421,0.24066176659652264,1.2951379310344828,1.0,0.0812724969830882,0.0795691231476608,0.0831794741141974,0.8167932696234583,160.1535,1,1.8,1.8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9897242503607444,0.968717233189482,0.9491654488205612,0.93090483219889,0.9137965050381202,0.8977219603044465,0.8825793346089659,0.8682804878884628,0.8547486904425825,-0.0100969819294672,0.0657538011695905,0.1236679022092266,1,1.8,1.8,1,0.092166867350841,3.7115519170686793,-2.48725191706868,76,0.7484718628794996,-24.354060301123464,W,0.2425855065574879,0.2620699857241546,15.0
ABAB,ABB-138,1703.2224,8.8861,37.7916,56.2116,1.3177,0.2525,2.1675,E,0.2912399999999999,0.2912399999999999,2.051416558496529,0.2124358033749083,0.2260258144210831,0.2533295644210831,0.212628,0.23993175,2.543710850115824,1,-0.515261108325427,0.24066176659650074,1.545783324976421,0.24066176659652264,1.2951379310344828,1.0,0.0741880769071374,0.0721754302431863,0.0762414004365246,0.7588980799878576,160.16112,1,1.8,1.8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.986308129890231,0.9636388034071368,0.9427811265035746,0.9234947894558364,0.9055831428805424,0.8888833172928005,0.8732589781754125,0.8585949168986052,0.8447929471279432,0.8317687467756767,0.8194493961461072,0.8077714363311173,0.7966793216285847,-0.0138829648943843,0.064751461988304,0.1459069356725146,1,1.8,1.8,1,0.081195762294829,2.807799206882468,-1.4900992068824672,76,0.7484718628794996,-24.354060301123464,W,0.2260258144210831,0.2533295644210831,15.0
ABAB,ABB-138,1703.3748,8.9242,37.2222,58.4672,1.5699,0.2682,2.152,E,0.3163022222222222,0.3163022222222222,2.014134900410838,0.2303564927973374,0.2325694293840479,0.2622227627173812,0.2051093333333333,0.2347626666666666,2.536950139015948,1,-0.515261108325427,0.24066176659650074,1.545783324976421,0.24066176659652264,1.2951379310344828,1.0,0.0844349690531094,0.0821257852174134,0.0865227692930368,0.6369832473405949,160.16874,1,1.8,1.8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.977593219833032,0.9491047123191304,0.9235706901687368,0.9004814999987593,0.8794469309927405,0.8601617255180563,0.8423826953607089,0.8259130501491663,0.8105913713658212,0.7962836719661532,0.782877560654584,0.770277875487002,0.7584033645222128,0.747184126347993,0.73655961115787,0.7264770414733858,0.7168901512437695,-0.0153749700619957,0.0581157894736841,0.1462549759584144,1,1.8,1.8,1,0.0906662703445525,2.6033502033377083,-1.0334502033377082,76,0.7484718628794996,-24.354060301123464,W,0.2325694293840479,0.2622227627173812,15.0
ABAB,ABB-138,1703.5272,8.9115,36.7578,63.7948,1.3339,0.2946,2.1568,E,0.3754977777777778,0.3754977777777778,1.980506074171073,0.26128934689317,0.2282947873853587,0.2634977040520253,0.1873506666666666,0.2225535833333332,2.545473831086348,1,-0.515261108325427,0.24066176659650074,1.545783324976421,0.24066176659652264,1.2951379310344828,1.0,0.0606419909130752,0.0590342457845691,0.061929370444591,0.7496813854112002,160.17636,1,1.8,1.8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9913771172867256,0.9677391913475064,0.9462424974484522,0.9265567394622364,0.908421901266938,0.8916296252878022,0.8760103870383246,0.861424423186786,0.8477551653987124,0.8349043915571779,0.822788581405166,0.8113361341858724,0.8004852144458059,0.7901820630553991,0.7803796578212904,0.7710366402878777,-0.0145972494975836,0.0289087719298245,0.1335430942170241,1,1.8,1.8,1,0.0654489539319658,2.209049215075692,-0.8751492150756912,76,0.7484718628794996,-24.354060301123464,W,0.2282947873853587,0.2634977040520253,15.0
ABAB,ABB-138,1703.6796,8.8354,36.9375,60.399,1.4363,0.3086,2.1571,E,0.3377666666666666,0.3377666666666666,2.0077087632757835,0.2874842703981476,0.2424370997304865,0.2741027247304864,0.19867,0.230335625,2.589672035897007,1,-0.515261108325427,0.24066176659650074,1.545783324976421,0.24066176659652264,1.2951379310344828,1.0,0.0727130749684021,0.0707244676752561,0.0744668358818335,0.696233377428114,160.18398000000002,1,1.8,1.8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.979793287595196,0.95455265814215,0.9316802001351288,0.9108027017136584,0.8916275044030266,0.873920940561453,0.8574935340488657,0.8421895664235196,0.8278795484442092,0.8144546769312326,0.8018226801068722,0.7899046540246905,0.778632619403967,0.7679476107035337,0.7577981642228925,0.74813910935735,-0.0153412159033623,0.0147333333333334,0.108853693957115,1,1.8,1.8,1,0.0783219128524262,2.447241756083369,-1.0109417560833691,76,0.7484718628794996,-24.354060301123464,W,0.2424370997304865,0.2741027247304864,15.0
ABAB,ABB-138,1703.832,8.6072,36.0903,67.6433,1.2213,0.3186,2.1722,E,0.4182588888888888,0.4182588888888888,1.972467993590123,0.2960241000674221,0.2225971375002002,0.2618089083335335,0.1745223333333333,0.2137341041666666,2.5752028508878877,1,-0.515261108325427,0.24066176659650074,1.545783324976421,0.24066176659652264,1.2951379310344828,1.0,0.0485689349309798,0.0473574497481122,0.049424612895739,0.8187996397281585,160.1916,1,1.8,1.8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9875444080316174,0.9674525002133656,0.9489890433568742,0.9319255599436826,0.9160782857306072,0.9012971857009936,0.8874581594216739,0.8744573820170509,0.8622071130372,0.8506325376076384,0.8396693483169517,0.829261868259702,0.8193615758271604,0.8099259320960952,0.8009174391399073,-0.0132538686140649,-0.0040970760233918,0.1124528424301494,1,1.8,1.8,1,0.0527417063666219,1.985389017475344,-0.7640890174753434,76,0.7484718628794996,-24.354060301123464,W,0.2225971375002002,0.2618089083335335,15.0
