DEPTH,STRUKTUR,WELL_NAME,GR,NPHI,RHOB,RT,MARKER,ZONE,CALI,DT,HLLD,HLLS,LLS,MSFL,PEF,RHOZ,RXOZ,SP,DRHO,GR_RAW,GR_NORM,GR_RAW_NORM,VSH_GR,VSH_DN,VSH_DIFF,VSH,RHOB_SR,NPHI_SR,PHIE_DEN,PHIT_DEN,PHIE,PHIT,RHO_MAT,RW_TEMP,SW,RWA_FULL,RWA_SIMPLE,RWA_TAR,GAS_EFFECT_RT,RT_RATIO,RT_DIFF,GAS_EFFECT_NPHI,NPHI_DIFF,GAS_EFFECT_RHOB,DENS_DIFF,RGSA_ANOM,NGSA_ANOM,DGSA_ANOM,SCORE,ZONA,IQUAL,NOD,RGBE,R_RGBE,RPBE,R_RPBE,CT,FTEMP,A_PARAM,M_PARAM,N_PARAM,RTSH,DNS,DNSV,A,M,N,RW,RWA,RO,RT_RO,GROUP_ID,GR_MovingAvg_5,GR_MovingAvg_10,RGSA,NGSA,DGSA,RO.1,RT_RO.1,RT_R0_GRAD,PHIE_RTR0_GRAD,FLUID_RTROPHIE,SWARRAY_1,SWARRAY_2,SWARRAY_3,SWARRAY_4,SWARRAY_5,SWARRAY_6,SWARRAY_7,SWARRAY_8,SWARRAY_9,SWARRAY_10,SWARRAY_11,SWARRAY_12,SWARRAY_13,SWARRAY_14,SWARRAY_15,SWARRAY_16,SWARRAY_17,SWARRAY_18,SWARRAY_19,SWARRAY_20,SWARRAY_21,SWARRAY_22,SWARRAY_23,SWARRAY_24,SWARRAY_25,SWGRAD
1589.0724,BNG,BNG-008,58.959,0.163,2.531,1.848,BRF,,,,,,,,,,,,,,58.959,58.959,0.1524157894736842,0.643572831883245,-0.4911570424095608,0.1524157894736842,2.545565725498476,0.1293729547133959,0.0978600009752332,0.1121489812383911,0.0978600009752332,0.1121489812383911,2.747305327178315,1.2951379310344828,1.0,0.0204650179640108,0.0201148793322205,0.0208562209128351,False,0.3212531957593206,-3.9044719579272336,False,-0.0639772299307524,True,0.021474879562696,False,False,True,1,Zona Lemah,0,,,,,,0.5411255411255411,154.45362,1,1.8,1.8,1,-0.0583216374269006,-0.0158502200677132,1,1.8,1.8,1,0.0281702924239587,11.157565072543832,-9.309565072543831,1,,,5.752471957927233,0.0990227700692476,2.552474879562696,11.157565072543832,-9.309565072543831,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
1589.2248,BNG,BNG-008,59.792,0.194,2.489,1.769,BRF,,,,,,,,,,,,,,59.792,59.792,0.1568,0.6971933763682294,-0.5403933763682294,0.1568,2.4962523719165084,0.1649905123339659,0.1242303664388463,0.1389303664388463,0.1242303664388463,0.1389303664388463,2.754788994009284,1.2951379310344828,1.0,0.0316042853541723,0.0310536637268273,0.032219964956748,False,0.3084642625817135,-3.965862071846603,False,-0.0934055212744791,True,0.0622104775716363,False,False,True,1,Zona Lemah,1,7.0,1.1286401596127789,0.9941850418839254,-5.274088029747641,0.4416919025346279,0.5652911249293386,154.46124,1,1.8,1.8,1,-0.0647602339181286,-0.0210671345029238,1,1.8,1.8,1,0.0414321826116946,8.945144699813392,-7.176144699813392,2,,,5.734862071846603,0.1005944787255209,2.551210477571636,8.945144699813392,-7.176144699813392,-17.242873126812025,-65.85174025008025,W,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
1589.3772,BNG,BNG-008,59.432,0.183,2.451,1.73,BRF,,,,,,,,,,,,,,59.432,59.432,0.1549052631578947,0.5489896154925628,-0.394084352334668,0.1549052631578947,2.451183299287529,0.1523890189826117,0.1284031455161705,0.1429255139372231,0.1284031455161705,0.1429255139372231,2.711178676105493,1.2951379310344828,1.0,0.032918504205092,0.0323573743768981,0.0335467292188657,False,0.3012973013462416,-4.011837023664334,False,-0.0830828385830104,True,0.1007510337670565,False,False,True,1,Zona Lemah,1,7.0,1.1286401596127789,0.9941850418839254,-5.274088029747641,0.4416919025346279,0.5780346820809249,154.46886,1,1.8,1.8,1,-0.0315380116959064,0.011627109879963,1,1.8,1.8,1,0.0430013704048297,8.824274882146002,-7.094274882146001,2,61.181,,5.741837023664334,0.0999171614169895,2.5517510337670566,8.824274882146002,-7.094274882146001,-17.242873126812025,-65.85174025008025,W,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
1589.5296,BNG,BNG-008,61.855,0.158,2.493,1.771,BRF,,,,,,,,,,,,,,61.855,61.855,0.1676578947368421,0.5255964075217517,-0.3579385127849096,0.1676578947368421,2.501661449935186,0.1193256188940529,0.1005422594289579,0.1162601870605368,0.1005422594289579,0.1162601870605368,2.707975288252194,1.2951379310344828,1.0,0.0209189224720612,0.0205257321804671,0.0213571355019593,False,0.3101228627801778,-3.93963991904178,False,-0.0535777264188834,True,0.0552718423765945,False,False,True,1,Zona Lemah,1,7.0,1.1286401596127789,0.9941850418839254,-5.274088029747641,0.4416919025346279,0.564652738565782,154.47648,1,1.8,1.8,1,-0.0310994152046783,0.0156192905509389,1,1.8,1.8,1,0.0283430194210669,9.69038809147474,-7.919388091474739,2,64.1602,,5.71063991904178,0.1044222735811166,2.5482718423765944,9.69038809147474,-7.919388091474739,-17.242873126812025,-65.85174025008025,W,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
1589.682,BNG,BNG-008,65.867,0.187,2.495,1.812,BRF,,,,,,,,,,,,,,65.867,65.867,0.1887736842105263,0.6765787257928711,-0.4878050415823448,0.1887736842105263,2.505471573251673,0.1490696346661649,0.1105848402320952,0.128282373126832,0.1105848402320952,0.128282373126832,2.7430857300064613,1.2951379310344828,1.0,0.0263894483180846,0.0258253838744506,0.0270102755184336,False,0.3173446918438189,-3.8978796563194926,False,-0.0753612417434722,True,0.0481843025549353,False,False,True,1,Zona Lemah,1,7.0,1.1286401596127789,0.9941850418839254,-5.274088029747641,0.4416919025346279,0.5518763796909492,154.4841,1,1.8,1.8,1,-0.0612690058479533,-0.0086662803939675,1,1.8,1.8,1,0.0344199522916192,7.76909901197615,-5.957099011976149,2,67.93440000000001,,5.709879656319493,0.1116387582565277,2.5431843025549354,7.76909901197615,-5.957099011976149,-17.242873126812025,-65.85174025008025,W,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
1589.8344,BNG,BNG-008,73.855,0.199,2.487,1.893,BRF,,,,,,,,,,,,,,73.855,73.855,0.2308157894736842,0.7174992983440928,-0.4866835088704085,0.2308157894736842,2.4981029114920115,0.1536881179650347,0.1082406460207084,0.1298796262838663,0.1082406460207084,0.1298796262838663,2.7434425072662645,1.2951379310344828,1.0,0.0273563886147475,0.0266652883620747,0.028078677895157,False,0.3359832859253596,-3.741208841033062,False,-0.07359748330317,True,0.0472485694541031,False,False,True,1,Zona Lemah,1,7.0,1.1286401596127789,0.9941850418839254,-5.274088029747641,0.4416919025346279,0.5282620179609087,154.49172,1,1.8,1.8,1,-0.0685906432748539,-0.0042726762080642,1,1.8,1.8,1,0.0345981828915783,5.990807591181516,-4.097807591181517,2,73.4614,72.8091,5.634208841033062,0.1254025166968299,2.534248569454104,5.990807591181516,-4.097807591181517,-17.242873126812025,-65.85174025008025,W,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
1589.9868,BNG,BNG-008,78.663,0.213,2.464,1.974,BRF,,,,,,,,,,,,,,78.663,78.663,0.2561210526315789,0.7318692113387596,-0.4757481587071807,0.2561210526315789,2.468820266455351,0.1658302496869185,0.1152076730341416,0.1392190217183521,0.1152076730341416,0.1392190217183521,2.737990136166514,1.2951379310344828,1.0,0.0329737562354991,0.0320986515763513,0.0338345899111541,False,0.3686493733584645,-3.38068155558354,False,-0.0794780696593737,True,0.0646592998350024,False,False,True,1,Zona Lemah,1,7.0,1.1286401596127789,0.9941850418839254,-5.274088029747641,0.4416919025346279,0.5065856129685917,154.49934000000002,1,1.8,1.8,1,-0.0691403508771929,0.00222905355494,1,1.8,1.8,1,0.0403658104976064,4.984040480448727,-3.010040480448727,2,79.6244,75.1927,5.35468155558354,0.1335219303406262,2.5286592998350024,4.984040480448727,-3.010040480448727,-17.242873126812025,-65.85174025008025,W,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
1590.1392,BNG,BNG-008,87.067,0.212,2.456,2.055,BRF,,,,,,,,,,,,,,87.067,87.067,0.3003526315789473,0.7072972214426044,-0.4069445898636571,0.3003526315789473,2.458575748685428,0.152757780235156,0.1051338611256602,0.1332919203361865,0.1051338611256602,0.1332919203361865,2.716510511010951,1.2951379310344828,1.0,0.0293776644541447,0.0286080002869867,0.030007292486943,False,0.490191157153796,-2.1372420876214417,False,-0.064076369535221,True,0.0602852950633248,False,False,True,1,Zona Lemah,1,7.0,1.1286401596127789,0.9941850418839254,-5.274088029747641,0.4416919025346279,0.48661800486618,154.50696,1,1.8,1.8,1,-0.0634619883040935,0.0202327654662974,1,1.8,1.8,1,0.0356408893388799,4.139390742962323,-2.084390742962323,2,84.4372,76.66130000000001,4.192242087621442,0.1479236304647789,2.5162852950633248,4.139390742962323,-2.084390742962323,-17.242873126812025,-65.85174025008025,W,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
1590.2916,BNG,BNG-008,92.67,0.199,2.466,2.495,BRF,,,,,,,,,,,,,,92.67,92.67,0.3298421052631579,0.6662222845916369,-0.336380179328479,0.3298421052631579,2.473874970548968,0.1246799654441216,0.0888308024453222,0.1197534998137432,0.0888308024453222,0.1197534998137432,2.699093265161469,1.2951379310344828,1.0,0.0260379427403006,0.0254982914447725,0.0262489885087382,False,0.8216411113071032,-0.5416056002612177,False,-0.0410081760760272,True,0.0387995318175526,False,False,True,1,Zona Lemah,0,,,,,,0.4008016032064128,154.51458000000002,1,1.8,1.8,1,-0.0563099415204679,0.0356022006771312,1,1.8,1.8,1,0.0319510403350688,3.856591370023553,-1.3615913700235525,3,86.2252,77.7722,3.036605600261218,0.1579918239239728,2.504799531817553,3.856591370023553,-1.3615913700235525,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9964862181340289,0.9821143830294045,0.9686779484806328,,,,,,,,,,,
1590.444,BNG,BNG-008,89.931,0.162,2.508,2.974,BRF,,,,,,,,,,,,,,89.931,89.931,0.3154263157894736,0.5823744035924786,-0.266948087803005,0.3154263157894736,2.534724261738001,0.075376530918205,0.0620976850715626,0.0916689021768258,0.0620976850715626,0.0916689021768258,2.68782707053532,1.2951379310344828,1.0,0.0152176055824791,0.014937129671991,0.0152751415755933,False,0.8208998735714469,-0.6488535242199163,False,-0.0089956474695936,True,0.0028212472384869,False,False,True,1,Zona Lemah,0,,,,,,0.3362474781439139,154.5222,1,1.8,1.8,1,-0.0438713450292398,0.0440237657740841,1,1.8,1.8,1,0.0199929418609976,4.718275003160435,-1.7442750031604346,3,85.3882,78.0091,3.622853524219917,0.1530043525304063,2.510821247238487,4.718275003160435,-1.7442750031604346,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
