,DEPTH,TVD,ROP,TG,C1,C2,C3,C4,C5,NC4,NC5,TG_SUMC,GQR,GAS_DRYNESS,WETNESS_RATIO,BALANCE_RATIO,CHARACTER_RATIO,GOW,GOW_NO_TG,C3_C1,C2_C1,C1_C2,C1_C3,C1_C4,WBS,C3_C1_BASELINE
1694,5879.552000000001,5099.72392,0.8168241389820177,42.19,7594,642,211,109.69399999999999,42.19,75.942,8.438,0.00401553906065891,,0.874555927356349,12.544407264365098,18.414180439293126,1.119734597156398,2.1731538002299593,0.051508741413367136,0.027785093494864365,0.08454042665262049,11.828660436137072,35.99052132701422,40.90801353185805,-0.3765603396722108,
1695,5882.8330000000005,5102.381530000001,1.7738494361475161,39.86,7573,642,199,87.692,39.86,79.72,15.944,0.003831709326876529,,0.8767871499334973,12.321285006650276,19.45686568012581,1.1216884422110551,1.9484900875467286,0.04888334389229124,0.026277565033672255,0.0847748580483296,11.79595015576324,38.05527638190955,45.23570592311185,-0.3612557757487248,
1696,5886.1140000000005,5105.10476,0.7314843035659859,20.27,3608,277,101,45,16.216,41,4.054,0.004128015314590609,,0.8816622559117556,11.833774408824443,18.74366767983789,1.0521782178217822,1.02665828501052,0.05064915071586186,0.027993348115299334,0.07677383592017738,13.025270758122744,35.722772277227726,41.95348837209303,-0.36022379992057124,
1708,5925.486,5137.52104,0.5028954587016153,166.5,24561,2892,2569,488,111,338,20,0.00396324772083502,,0.7928273992059137,20.717260079408632,7.785876347135565,0.3725184896847022,18.95086994415572,0.11381903870363795,0.10459671837465902,0.11774764871137168,8.492738589211617,9.560529388867263,29.734866828087167,-0.6637851340266077,
1709,5928.767,5140.21146,0.4480341359341664,183.78,27854,3205,2922,547,131,382,34,0.0038632780475499778,,0.7941268709907341,20.587312900926584,7.733814741035856,0.37440109514031483,21.042351532430505,0.11449750534568781,0.1049041430315215,0.11506426366051554,8.690795631825273,9.532511978097194,29.982777179763186,-0.6638083462728764,0.05831137361000329
1710,5932.048000000001,5142.93469,0.4023163669612923,207.12,30025,3332,3083,565,141,399,45,0.004083274189732671,,0.7987496674647513,20.125033253524872,7.880226789510985,0.3730132987349984,23.32372865123703,0.112609736632083,0.10268109908409659,0.11097418817651956,9.01110444177671,9.738890690885501,31.146265560165975,-0.6549925530401203,0.07329057472784975
1711,5935.329000000001,5145.5923,0.45717768972874123,205.5,30206,3332,3086,570,141,399,45,0.004034633054541171,,0.7995447206119802,20.04552793880198,7.90804055647253,0.3742709008425146,23.069046295561026,0.11225813282511449,0.10216513275508177,0.11030921009071046,9.065426170468188,9.788075178224238,31.17234262125903,-0.6534032722798234,0.08846808827213164
1712,5938.610000000001,5148.315530000001,0.4206034745504419,201.03,30014,3265,3034,554,133,385,35,0.00400123402730783,,0.8020844468198824,19.79155531801176,8.036464622071962,0.36486486486486486,22.246532068412613,0.1106627471940139,0.10108615979209702,0.10878256813487039,9.192649310872895,9.89255108767304,31.963791267305645,-0.6472980762605098,0.10308665060749118
1724,5977.982,5182.43793,1.2252362084730264,65.14,11204,1108,796,153,52.112,117.252,13.028,0.003783973564930639,,0.8334206128929366,16.657938710706343,10.882169928724968,0.4213467336683418,5.482163644413553,0.08415971207266738,0.07104605498036416,0.09889325240985362,10.111913357400722,14.075376884422111,41.45760253393129,-0.5470856653598238,0.09637651792863221
1725,5981.263,5185.16116,0.5486132276744895,121.53,22605,2048,1271,291,97.224,218.754,48.612,0.0036515018420058584,,0.8504645857968464,14.953541420315364,12.796183931194495,0.5158064516129033,8.808957651340746,0.07248381182704473,0.056226498562264984,0.09059942490599425,11.03759765625,17.785208497246263,44.34491931402206,-0.4900905597497037,0.0866409890347809
1726,5984.544,5187.88439,0.6309052118256628,175.94,30262,3361,2574,472,175.94,281.504,35.188,0.003607127293172643,,0.8143345265353253,18.566547346467466,9.50169444011132,0.3747599067599067,16.75348687807898,0.09522272864657827,0.08505716740466591,0.11106337981627123,9.003867896459386,11.756798756798757,40.161697880834076,-0.5987364477501568,0.08311620269889478
1750,6063.2880000000005,5255.5058,0.8686376104846083,1277.7,232541,15332,5111,2811,1022,2555,256,0.0041701480456408785,,0.8956699585560879,10.433004144391205,21.08660144619311,1.2999413030718059,57.849552051396614,0.04527631842482321,0.021978919846392678,0.06593245922224468,15.167036264022958,45.49814126394052,43.33600447260529,-0.30847285119988527,0.06707896011715694
1751,6066.569,5258.26184,0.6796708320633953,1442.34,253852,17308,5769,3462,865,2308,288,0.004310381925766541,,0.8943111198793737,10.568888012062624,21.364639142767096,1.2000346680533889,64.49198624635372,0.04471344221636628,0.022725840253375984,0.068181460063344,14.66674370233418,44.00277344427111,43.99514731369151,-0.3085697829257336,0.051406896209412745
1752,6069.85,5261.7397,0.6339530630905211,1445.03,271666,20230,5780,2890,867,2312,578,0.004042053264484656,,0.8926896751149273,10.731032488507276,23.488854912690112,1.15,59.00765900046989,0.04083490238989495,0.021276125830983636,0.07446644040844272,13.428868017795354,47.00103806228374,52.223375624759704,-0.29224401076954476,0.04145291037953665
1786,6181.404,5355.60911,0.6034745504419384,472.63,82238,3781,2836,1229,378,756,95,0.0043515048843140326,,0.9006165606211601,9.938343937883982,16.24839440876464,0.8667136812411848,27.40139103961101,0.05797641080678545,0.03448527444733578,0.045976312653517835,21.750330600370273,28.997884344146687,41.429722921914355,-0.3519075257223215,0.0371046655565508
