STRUKTUR,WELL_NAME,DEPTH,GR,NPHI,RHOB,RT,MARKER,ZONE,CALI,DT,HLLD,HLLS,LLS,MSFL,PEF,RHOZ,RXOZ,SP,DRHO
BNG,BNG-026,1599.1334,,,2.425,,,,,,,,,,,,,,
BNG,BNG-026,1599.2858,68.442,0.29,2.427,,,,,,,,,,,,,,
BNG,BNG-026,1599.4382,70.886,0.295,2.43,,,,,,,,,,,,,,
BNG,BNG-026,1599.5906,69.702,0.302,2.422,,,,,,,,,,,,,,
BNG,BNG-026,1599.743,66.901,0.301,2.411,,,,,,,,,,,,,,
BNG,BNG-026,1599.8954,66.912,0.299,2.418,,,,,,,,,,,,,,
BNG,BNG-026,1600.0478,67.336,0.302,2.457,,,,,,,,,,,,,,
BNG,BNG-026,1600.2002,67.361,0.304,2.475,,,,,,,,,,,,,,
BNG,BNG-026,1600.3526,67.797,0.307,2.471,,,,,,,,,,,,,,
BNG,BNG-026,1600.505,69.427,0.308,2.453,,,,,,,,,,,,,,
BNG,BNG-026,1600.6574,70.651,0.309,2.435,,,,,,,,,,,,,,
BNG,BNG-026,1600.8098,72.685,0.304,2.418,,,,,,,,,,,,,,
BNG,BNG-026,1600.9622,75.532,0.3,2.417,,,,,,,,,,,,,,
BNG,BNG-026,1601.1146,75.55,0.294,2.42,,,,,,,,,,,,,,
BNG,BNG-026,1601.267,71.943,0.291,2.428,,,,,,,,,,,,,,
BNG,BNG-026,1601.4194,67.536,0.291,2.443,,,,,,,,,,,,,,
BNG,BNG-026,1601.5718,67.958,0.283,2.462,,,,,,,,,,,,,,
BNG,BNG-026,1601.7242,72.421,0.271,2.468,,,,,,,,,,,,,,
BNG,BNG-026,1601.8766,73.642,0.267,2.472,,,,,,,,,,,,,,
BNG,BNG-026,1602.029,72.464,0.266,2.465,,,,,,,,,,,,,,
BNG,BNG-026,1602.1814,71.668,0.266,2.465,,,,,,,,,,,,,,
BNG,BNG-026,1602.3338,72.907,0.266,2.466,,,,,,,,,,,,,,
BNG,BNG-026,1602.4862,76.157,0.267,2.466,,,,,,,,,,,,,,
BNG,BNG-026,1602.6386,76.168,0.276,2.462,,,,,,,,,,,,,,
BNG,BNG-026,1602.791,75.804,0.29,2.462,,,,,,,,,,,,,,
BNG,BNG-026,1602.9434,75.822,0.304,2.459,,,,,,,,,,,,,,
BNG,BNG-026,1603.0958,75.833,0.304,2.444,,,,,,,,,,,,,,
BNG,BNG-026,1603.2482,77.467,0.298,2.442,,,,,,,,,,,,,,
BNG,BNG-026,1603.4006,80.314,0.295,2.455,,,,,,,,,,,,,,
BNG,BNG-026,1603.553,82.755,0.287,2.463,,,,,,,,,,,,,,
BNG,BNG-026,1603.7054,81.567,0.282,2.501,,,,,,,,,,,,,,
BNG,BNG-026,1603.8578,77.153,0.278,2.509,,,,,,,,,,,,,,
BNG,BNG-026,1604.0102,73.942,0.269,2.502,,,,,,,,,,,,,,
BNG,BNG-026,1604.1626,70.338,0.254,2.486,,,,,,,,,,,,,,
BNG,BNG-026,1604.315,70.763,0.244,2.475,,,,,,,,,,,,,,
BNG,BNG-026,1604.4674,72.8,0.245,2.468,,,,,,,,,,,,,,
BNG,BNG-026,1604.6198,73.624,0.271,2.463,,,,,,,,,,,,,,
BNG,BNG-026,1604.7722,72.436,0.278,2.472,,,,,,,,,,,,,,
BNG,BNG-026,1604.9246,72.065,0.266,2.483,,,,,,,,,,,,,,
BNG,BNG-026,1605.077,72.076,0.253,2.48,,,,,,,,,,,,,,
BNG,BNG-026,1605.2294,69.289,0.256,2.468,,,,,,,,,,,,,,
BNG,BNG-026,1605.3818,68.49,0.269,2.455,,,,,,,,,,,,,,
BNG,BNG-026,1605.5342,68.915,0.28,2.439,,,,,,,,,,,,,,
BNG,BNG-026,1605.6866,70.553,0.29,2.428,,,,,,,,,,,,,,
BNG,BNG-026,1605.839,73.803,0.296,2.428,,,,,,,,,,,,,,
BNG,BNG-026,1605.9914,78.667,0.299,2.431,,,,,,,,,,,,,,
BNG,BNG-026,1606.1438,79.088,0.306,2.442,,,,,,,,,,,,,,
BNG,BNG-026,1606.2962,77.496,0.31,2.478,,,,,,,,,,,,,,
BNG,BNG-026,1606.4486,72.28,0.303,2.494,,,,,,,,,,,,,,
BNG,BNG-026,1606.601,66.653,0.291,2.495,,,,,,,,,,,,,,
BNG,BNG-026,1606.7534,63.042,0.257,2.483,,,,,,,,,,,,,,
BNG,BNG-026,1606.9058,59.435,0.24,2.464,,,,,,,,,,,,,,
BNG,BNG-026,1607.0582,61.872,0.243,2.438,,,,,,,,,,,,,,
BNG,BNG-026,1607.2106,74.403,0.257,2.399,,,,,,,,,,,,,,
BNG,BNG-026,1607.363,80.868,0.288,2.335,,,,,,,,,,,,,,
BNG,BNG-026,1607.5154,86.538,0.325,2.294,,,,,,,,,,,,,,
BNG,BNG-026,1607.6678,87.765,0.344,2.268,,,,,,,,,,,,,,
BNG,BNG-026,1607.8202,86.174,0.353,2.284,,,,,,,,,,,,,,
BNG,BNG-026,1607.9726,85.004,0.352,2.31,,,,,,,,,,,,,,
BNG,BNG-026,1608.125,84.619,0.353,2.345,,,,,,,,,,,,,,
BNG,BNG-026,1608.2774,83.83,0.357,2.371,,,,,,,,,,,,,,
BNG,BNG-026,1608.4298,82.239,0.358,2.4,,,,,,,,,,,,,,
BNG,BNG-026,1608.5822,81.85,0.355,2.43,,,,,,,,,,,,,,
BNG,BNG-026,1608.7346,79.452,0.347,2.482,,,,,,,,,,,,,,
BNG,BNG-026,1608.887,73.426,0.303,2.485,,,,,,,,,,,,,,
BNG,BNG-026,1609.0394,69.009,0.257,2.44,,,,,,,,,,,,,,
BNG,BNG-026,1609.1918,69.84,0.24,2.402,,,,,,,,,,,,,,
BNG,BNG-026,1609.3442,76.716,0.26,2.358,,,,,,,,,,,,,,
BNG,BNG-026,1609.4966,80.362,0.287,2.346,,,,,,,,,,,,,,
BNG,BNG-026,1609.649,84.016,0.293,2.367,,,,,,,,,,,,,,
BNG,BNG-026,1609.8014,83.228,0.297,2.378,,,,,,,,,,,,,,
BNG,BNG-026,1609.9538,81.236,0.316,2.363,,,,,,,,,,,,,,
BNG,BNG-026,1610.1062,81.258,0.329,2.343,,,,,,,,,,,,,,
BNG,BNG-026,1610.2586,82.489,0.325,2.332,,,,,,,,,,,,,,
BNG,BNG-026,1610.411,83.313,0.323,2.321,,,,,,,,,,,,,,
BNG,BNG-026,1610.5634,81.729,0.33,2.314,,,,,,,,,,,,,,
BNG,BNG-026,1610.7158,80.541,0.333,2.303,,,,,,,,,,,,,,
BNG,BNG-026,1610.8682,80.555,0.327,2.303,,,,,,,,,,,,,,
BNG,BNG-026,1611.0206,85.012,0.324,2.313,,,,,,,,,,,,,,
BNG,BNG-026,1611.173,87.049,0.323,2.323,,,,,,,,,,,,,,
BNG,BNG-026,1611.3254,86.264,0.325,2.329,,,,,,,,,,,,,,
BNG,BNG-026,1611.4778,81.051,0.33,2.317,,,,,,,,,,,,,,
BNG,BNG-026,1611.6302,78.247,0.329,2.308,,,,,,,,,,,,,,
BNG,BNG-026,1611.7826,76.249,0.332,2.309,,,,,,,,,,,,,,
BNG,BNG-026,1611.935,75.061,0.347,2.324,,,,,,,,,,,,,,
BNG,BNG-026,1612.0874,78.311,0.35,2.339,,,,,,,,,,,,,,
BNG,BNG-026,1612.2398,78.347,0.339,2.314,,,,,,,,,,,,,,
BNG,BNG-026,1612.3922,77.958,0.316,2.234,,,,,,,,,,,,,,
BNG,BNG-026,1612.5446,77.969,0.315,2.166,,,,,,,,,,,,,,
BNG,BNG-026,1612.697,83.235,0.33,2.11,,,,,,,,,,,,,,
BNG,BNG-026,1612.8494,88.099,0.354,2.116,,,,,,,,,,,,,,
BNG,BNG-026,1613.0018,90.136,0.355,2.221,,,,,,,,,,,,,,
BNG,BNG-026,1613.1542,89.351,0.35,2.294,,,,,,,,,,,,,,
BNG,BNG-026,1613.3066,82.918,0.337,2.357,,,,,,,,,,,,,,
BNG,BNG-026,1613.459,75.275,0.318,2.41,,,,,,,,,,,,,,
BNG,BNG-026,1613.6114,68.442,0.299,2.413,,,,,,,,,,,,,,
BNG,BNG-026,1613.7638,64.435,0.287,2.387,,,,,,,,,,,,,,
BNG,BNG-026,1613.9162,65.667,0.278,2.375,,,,,,,,,,,,,,
BNG,BNG-026,1614.0686,69.727,0.285,2.378,,,,,,,,,,,,,,
BNG,BNG-026,1614.221,71.358,0.299,2.385,,,,,,,,,,,,,,
BNG,BNG-026,1614.3734,71.786,0.318,2.384,,,,,,,,,,,,,,
BNG,BNG-026,1614.5258,70.994,0.323,2.383,,,,,,,,,,,,,,
BNG,BNG-026,1614.6782,70.209,0.316,2.383,,,,,,,,,,,,,,
BNG,BNG-026,1614.8306,70.633,0.312,2.375,,,,,,,,,,,,,,
BNG,BNG-026,1614.983,70.255,0.321,2.37,,,,,,,,,,,,,,
BNG,BNG-026,1615.1354,69.463,0.331,2.373,,,,,,,,,,,,,,
BNG,BNG-026,1615.2878,69.485,0.33,2.375,,,,,,,,,,,,,,
BNG,BNG-026,1615.4402,69.92,0.327,2.372,,,,,,,,,,,,,,
BNG,BNG-026,1615.5926,68.732,0.318,2.368,,,,,,,,,,,,,,
BNG,BNG-026,1615.745,65.924,0.31,2.368,,,,,,,,,,,,,,
BNG,BNG-026,1615.8974,63.53,0.307,2.371,,,,,,,,,,,,,,
BNG,BNG-026,1616.0498,63.551,0.312,2.374,,,,,,,,,,,,,,
BNG,BNG-026,1616.2022,65.995,0.313,2.383,,,,,,,,,,,,,,
BNG,BNG-026,1616.3546,68.433,0.307,2.39,,,,,,,,,,,,,,
BNG,BNG-026,1616.507,72.896,0.3,2.404,,,,,,,,,,,,,,
BNG,BNG-026,1616.6594,73.713,0.285,2.405,,,,,,,,,,,,,,
BNG,BNG-026,1616.8118,73.335,0.283,2.397,,,,,,,,,,,,,,
BNG,BNG-026,1616.9642,73.763,0.295,2.396,,,,,,,,,,,,,,
BNG,BNG-026,1617.1166,75.394,0.305,2.408,,,,,,,,,,,,,,
BNG,BNG-026,1617.269,76.621,0.314,2.435,,,,,,,,,,,,,,
BNG,BNG-026,1617.4214,77.046,0.312,2.442,,,,,,,,,,,,,,
BNG,BNG-026,1617.5738,77.071,0.308,2.42,,,,,,,,,,,,,,
BNG,BNG-026,1617.7262,76.689,0.302,2.412,,,,,,,,,,,,,,
BNG,BNG-026,1617.8786,75.098,0.303,2.408,,,,,,,,,,,,,,
BNG,BNG-026,1618.031,72.704,0.306,2.412,,,,,,,,,,,,,,
BNG,BNG-026,1618.1834,71.915,0.305,2.414,,,,,,,,,,,,,,
BNG,BNG-026,1618.3358,71.937,0.304,2.41,,,,,,,,,,,,,,
BNG,BNG-026,1618.4882,72.358,0.303,2.404,,,,,,,,,,,,,,
BNG,BNG-026,1618.6406,72.783,0.302,2.404,,,,,,,,,,,,,,
BNG,BNG-026,1618.793,71.601,0.302,2.41,,,,,,,,,,,,,,
BNG,BNG-026,1618.9454,70.01,0.309,2.414,,,,,,,,,,,,,,
BNG,BNG-026,1619.0978,70.024,0.32,2.404,,,,,,,,,,,,,,
BNG,BNG-026,1619.2502,70.453,0.328,2.387,,,,,,,,,,,,,,
BNG,BNG-026,1619.4026,70.874,0.325,2.364,,,,,,,,,,,,,,
BNG,BNG-026,1619.555,69.689,0.3,2.335,,,,,,,,,,,,,,
BNG,BNG-026,1619.7074,68.497,0.286,2.326,,,,,,,,,,,,,,
BNG,BNG-026,1619.8598,65.7,0.285,2.367,,,,,,,,,,,,,,
BNG,BNG-026,1620.0122,62.089,0.282,2.42,,,,,,,,,,,,,,
BNG,BNG-026,1620.1646,56.873,0.262,2.463,,,,,,,,,,,,,,
BNG,BNG-026,1620.317,57.305,0.26,2.455,,,,,,,,,,,,,,
BNG,BNG-026,1620.4694,58.935,0.283,2.433,,,,,,,,,,,,,,
BNG,BNG-026,1620.6218,61.772,0.299,2.433,,,,,,,,,,,,,,
BNG,BNG-026,1620.7742,67.452,0.302,2.44,,,,,,,,,,,,,,
BNG,BNG-026,1620.9266,70.289,0.3,2.464,,,,,,,,,,,,,,
BNG,BNG-026,1621.079,72.319,0.299,2.483,,,,,,,,,,,,,,
BNG,BNG-026,1621.2314,74.364,0.3,2.484,,,,,,,,,,,,,,
BNG,BNG-026,1621.3838,73.575,0.311,2.47,,,,,,,,,,,,,,
BNG,BNG-026,1621.5362,70.371,0.315,2.456,,,,,,,,,,,,,,
BNG,BNG-026,1621.6886,70.796,0.302,2.442,,,,,,,,,,,,,,
BNG,BNG-026,1621.841,74.853,0.296,2.408,,,,,,,,,,,,,,
BNG,BNG-026,1621.9934,80.515,0.31,2.353,,,,,,,,,,,,,,
