DEPTH,STRUKTUR,WELL_NAME,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_NORM,VSH_GR,VSH,RHOB_SR,NPHI_SR,PHIE_DEN,PHIT_DEN,PHIE,PHIT,RHO_MAT,DNS,DNSV,VSH_DN,VSH_DIFF,RESERVOIR_CLASS,RW_TEMP,SW,RWA_FULL,RWA_SIMPLE,RWA_TAR,RGSA,GAS_EFFECT_RT,RT_RATIO,RT_DIFF,NGSA,GAS_EFFECT_NPHI,NPHI_DIFF,DGSA,GAS_EFFECT_RHOB,DENS_DIFF,RGSA_ANOM,NGSA_ANOM,DGSA_ANOM,SCORE,ZONA,IQUAL,RGBE,R_RGBE,RPBE,R_RPBE,SWARRAY_1,SWARRAY_2,SWARRAY_3,SWARRAY_4,SWARRAY_5,SWARRAY_6,SWARRAY_7,SWARRAY_8,SWARRAY_9,SWARRAY_10,SWARRAY_11,SWARRAY_12,SWARRAY_13,SWARRAY_14,SWARRAY_15,SWARRAY_16,SWARRAY_17,SWARRAY_18,SWARRAY_19,SWARRAY_20,SWARRAY_21,SWARRAY_22,SWARRAY_23,SWARRAY_24,SWARRAY_25,SWGRAD,CT,FTEMP,A_PARAM,M_PARAM,N_PARAM,RTSH,A,M,N,RW,RWA,RO,RT_RO,GROUP_ID,RO.1,GR_RAW,GR_RAW_NORM,RO.2,RT_RO.1,RT_R0_GRAD,PHIE_RTR0_GRAD,FLUID_RTROPHIE
1623.06,ABAB,ABB-036,9.284,-64.4579,132.692,1.349,0.2885,2.459,BTS,,1.0,1.0,inf,-0.015,,,,,,-0.1417163742690058,0.136938596491228,0.5444635067929876,0.4555364932070124,,1.2951379310344828,,,,,1.5401477264040455,False,0.8758900051423382,-0.1911477264040457,0.2853467890751306,False,-0.0031532109248693,2.459502349702765,True,0.0005023497027649,False,False,True,1,Zona Lemah,0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7412898443291327,156.15300000000002,1,1.8,1.8,1,1,1.8,1.8,1,,,,36,,132.692,132.692,,,,,
1623.2124,ABAB,ABB-036,9.129,-64.1853,132.051,1.359,0.2733,2.48,BTS,,1.0,1.0,inf,-0.015,,,,,,-0.1387970760233918,0.1398578947368421,0.531941627538688,0.468058372461312,,1.2951379310344828,,,,,1.536643543225988,False,0.8843950869353553,-0.1776435432259879,0.2867126672922477,True,0.0134126672922477,2.4586202462789384,False,-0.0213797537210616,False,True,False,1,Zona Lemah,0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7358351729212657,156.16062,1,1.8,1.8,1,1,1.8,1.8,1,,,,36,,132.051,132.051,,,,,
1623.3648,ABAB,ABB-036,9.066,-63.9117,135.201,1.369,0.2572,2.48,BTS,,1.0,1.0,inf,-0.015,,,,,,-0.1226970760233918,0.1559578947368421,0.4917956269274579,0.5082043730725421,,1.2951379310344828,,,,,1.5515757332081028,False,0.8823288291377169,-0.1825757332081028,0.278681756266621,True,0.021481756266621,2.465910836842001,False,-0.0140891631579984,False,True,False,1,Zona Lemah,0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7304601899196493,156.16824000000005,1,1.8,1.8,1,1,1.8,1.8,1,,,,36,,135.201,135.201,,,,,
1623.5172,ABAB,ABB-036,9.002,-63.639,134.036,1.413,0.2328,2.486,BTS,,1.0,1.0,inf,-0.015,,,,,,-0.1018058479532165,0.1768491228070174,0.4382046509043429,0.5617953490956571,,1.2951379310344828,,,,,1.542726054740203,False,0.9159111532850536,-0.129726054740203,0.281926092773261,True,0.0491260927732609,2.4635716458945,False,-0.0224283541055001,False,True,False,1,Zona Lemah,0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7077140835102619,156.17586,1,1.8,1.8,1,1,1.8,1.8,1,,,,36,,134.036,134.036,,,,,
1623.6696,ABAB,ABB-036,8.981,-63.4124,129.983,1.457,0.2368,2.491,BTS,,1.0,1.0,inf,-0.015,,,,,,-0.1087298245614035,0.1699251461988303,0.4542216542105411,0.5457783457894589,,1.2951379310344828,,,,,1.5299158229614551,False,0.9523399772280856,-0.0729158229614552,0.2909081587984921,True,0.054108158798492,2.4555069275137456,False,-0.0354930724862545,False,True,False,1,Zona Lemah,0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6863417982155113,156.18348,1,1.8,1.8,1,1,1.8,1.8,1,,,,36,,129.983,129.983,,,,,
1623.822,ABAB,ABB-036,8.96,-63.1848,126.125,1.5,0.2414,2.486,BTS,,1.0,1.0,inf,-0.015,,,,,,-0.1104058479532165,0.1682491228070174,0.459649098435807,0.540350901564193,,1.2951379310344828,,,,,1.540381531263364,False,0.9737847212240692,-0.0403815312633639,0.2959553704528037,True,0.0545553704528037,2.449022578131868,False,-0.0369774218681322,False,True,False,1,Zona Lemah,0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,156.1911,1,1.8,1.8,1,1,1.8,1.8,1,,,,36,,126.125,126.125,,,,,
1623.9744,ABAB,ABB-036,8.939,-62.9582,122.778,1.53,0.2461,2.482,BTS,,1.0,1.0,inf,-0.015,,,,,,-0.1127666666666668,0.1658883040935671,0.4665344650348679,0.533465534965132,,1.2951379310344828,,,,,1.5673539733318176,False,0.9761674937714216,-0.0373539733318175,0.2975648173366334,True,0.0514648173366334,2.4443894108339688,False,-0.0376105891660314,False,True,False,1,Zona Lemah,0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6535947712418301,156.19872,1,1.8,1.8,1,1,1.8,1.8,1,,,,36,,122.778,122.778,,,,,
1624.1268,ABAB,ABB-036,8.933,-62.7316,119.431,1.561,0.2476,2.488,BTS,,0.9936777777777778,0.9936777777777778,8.46054481546569,-0.015,0.0037992058462608,0.0969564975129274,0.0018966666666666,0.0950539583333332,19.694774505476207,-0.1177754385964912,0.1591178135152696,0.4775261856472092,0.5161515921305686,1.0,1.2951379310344828,1.0,6.489080402569371e-06,6.502512549488877e-06,6.4755567852420114e-06,1.6119961634564948,False,0.9683645875762216,-0.0509961634564948,0.296607803500077,True,0.0490078035000769,2.4406368442069524,False,-0.0473631557930476,False,True,False,1,Zona Lemah,0,,,,,0.781644036018099,0.7808827211936009,0.7803084815046039,0.7798303263072767,0.7794133018723673,0.7790395757218352,0.7786985946872695,0.7783835027909783,0.7780895488469416,0.7778132800184583,0.7775520937000969,0.7773039705017359,0.7770673062106256,0.7768408012858659,0.7766233855058855,0.7764141650008731,0.776212384044502,0.7760173968708334,0.7758286464782121,0.7756456484134087,0.7754679781766619,0.7752952613060702,0.7751271654760763,0.7749633941315762,0.7748036813079607,-0.0002001306644793,0.6406149903907752,156.20634,1,1.8,1.8,1,1,1.8,1.8,1,1.966920125636458e-05,0.9992732087449192,0.5617267912550807,36,0.9992732087449192,119.431,119.431,0.9992732087449192,0.5617267912550807,,,
1624.2792,ABAB,ABB-036,8.927,-62.611,118.099,1.591,0.2481,2.499,BTS,,0.9788777777777778,0.9788777777777778,4.769831667543409,-0.015,0.0043941123403174,0.096163904006984,0.0043941123403174,0.096163904006984,5.7600848382970815,-0.1247081871345029,0.1480609714100063,0.492067207512572,0.4868105702652058,1.0,1.2951379310344828,1.0,3.5456135590894714e-05,3.5698817243032094e-05,3.520796518625686e-05,1.636331262967366,False,0.9722970134512,-0.0453312629673658,0.2952998722278979,True,0.0471998722278979,2.439751860900272,False,-0.0592481390997279,False,True,False,1,Zona Lemah,0,,,,,0.7778483869640718,0.7762279760375755,0.775008002799875,0.7739936405432133,0.7731100568969526,0.7723190784943307,0.7715981167724538,0.7709324982015902,0.7703120549504913,0.7697293983787897,0.7691789597102886,0.768656418434054,0.7681583426027146,0.7676819522945074,0.7672249583271638,0.7667854488894924,0.7663618077659605,0.7659526540199677,0.7655567966321661,0.7651731997982307,0.7648009559763816,0.7644392646692925,0.7640874155164765,0.7637447746730556,0.7634107737264627,-0.0004201526497182,0.6285355122564426,156.21396,1,1.8,1.8,1,1,1.8,1.8,1,9.095744664412124e-05,1.006591281116076,0.584408718883924,36,1.006591281116076,118.099,118.099,1.006591281116076,0.584408718883924,,,
1624.4316,ABAB,ABB-036,8.921,-62.4914,118.729,1.529,0.2486,2.5,BTS,,0.9858777777777776,0.9858777777777776,5.990519276160457,-0.015,0.0047730485947749,0.0971990902614415,0.0042366666666667,0.0966627083333333,8.538337079901337,-0.1257929824561403,0.1489267608836906,0.494522546050621,0.4913552317271566,1.0,1.2951379310344828,1.0,3.2010099690861665e-05,3.215095396264862e-05,3.186699524918195e-05,1.626991070853028,False,0.9397715988683014,-0.097991070853028,0.2954980008320911,True,0.0468980008320911,2.4410169987169006,False,-0.0589830012830994,False,True,False,1,Zona Lemah,0,,,,,0.7921163052767849,0.7905249356716864,0.7893266786920151,0.7883302756390365,0.7874622639383675,0.7866851686922215,0.7859768144904314,0.7853227960911322,0.7847131315055783,0.7841405670939343,0.7835996357956209,0.7830860959896612,0.7825965783737876,0.7821283537532948,0.7816791747047476,0.7812471642806879,0.7808307357293898,0.7804285332807978,0.7800393876139986,0.7796622817892127,0.7792963247878353,0.7789407306820242,0.7785948020359649,0.7782579165334492,0.7779295160970023,-0.0004130009181266,0.6540222367560498,156.22158000000002,1,1.8,1.8,1,1,1.8,1.8,1,8.185613183302866e-05,0.999738290570823,0.5292617094291769,36,0.999738290570823,118.729,118.729,0.999738290570823,0.5292617094291769,,,
