DEPTH,ALCDLC,ALDD,DGDD,DGRCC,R09PC,R15PC,R27PC,R39PC,ROPA,TNDD,TNPL,TNPS,ALCDLC_TR,ALDD_TR,DGDD_TR,DGRCC_TR,R09PC_TR,R15PC_TR,R27PC_TR,R39PC_TR,ROPA_TR,TNDD_TR,TNPL_TR,TNPS_TR,ALCDLC_TR_TR,ALDD_TR_TR,DGDD_TR_TR,DGRCC_TR_TR,R09PC_TR_TR,R15PC_TR_TR,R27PC_TR_TR,R39PC_TR_TR,ROPA_TR_TR,TNDD_TR_TR,TNPL_TR_TR,TNPS_TR_TR,MISSING_FLAG
1539.8496,2.4244,339.3157,16.9682,101.3128,1.151,1.1541,1.1696,1.1518,266.522,33.5296,0.281717,0.322662,,,,,,,,,,,,,,,,,,,,,,,,,1
1540.002,2.419,23651694.0,13.5776,89.2244,1.1518,1.153,1.1693,1.1532,281.8478,22.342,0.281181,0.32202,,,,,,,,,,,,,,,,,,,,,,,,,1
1540.1544,2.4152,1825882752.0,11.2263,98.2726,1.1518,1.1522,1.1708,1.1565,279.2274,19.0748,0.280936,0.323575,,,,,,,,,,,,,,,,,,,,,,,,,1
1540.3068,2.4171,3628113920.0,8.8749,103.4111,1.1589,1.1513,1.1722,1.1618,276.607,15.8077,0.283451,0.325129,,,,,,,,,,,,,,,,,,,,,,,,,1
1540.4592,2.4178,5430344704.0,6.5235,100.0808,1.1628,1.1505,1.1736,1.1666,273.9865,12.5405,0.286239,0.326684,,,,,,,,,,,,,,,,,,,,,,,,,1
1540.6116,2.4156,8499657216.0,5.7765,90.9959,1.1595,1.1514,1.1768,1.1853,258.7778,18.0553,0.288658,0.328194,,,,,,,,,,,,,,,,,,,,,,,,,1
1540.764,2.4159,12032202752.0,5.6161,89.4766,1.1566,1.1528,1.1805,1.1893,238.9669,26.7809,0.289791,0.329687,,,,,,,,,,,,,,,,,,,,,,,,,1
1540.9164,2.4146,15564748800.0,5.4556,90.9338,1.1587,1.1543,1.1843,1.1883,219.156,35.5064,0.290857,0.331181,,,,,,,,,,,,,,,,,,,,,,,,,1
1541.0688,2.4134,15269639168.0,5.6146,99.4183,1.1635,1.1584,1.19,1.1971,209.5421,37.6132,0.292038,0.331849,,,,,,,,,,,,,,,,,,,,,,,,,1
1541.2212,2.4135,10323480576.0,6.1616,95.6015,1.1653,1.1656,1.198,1.2042,212.3187,31.6777,0.292336,0.331513,,,,,,,,,,,,,,,,,,,,,,,,,1
1541.3736,2.416,5377322496.0,6.7086,98.0256,1.1735,1.1729,1.206,1.2154,215.0953,25.7421,0.291216,0.331178,,,,,,,,,,,,,,,,,,,,,,,,,1
1541.526,2.4156,1208697344.0,7.234,103.4796,1.1781,1.1834,1.2166,1.2474,224.9066,19.9827,0.289324,0.330411,,,,,,,,,,,,,,,,,,,,,,,,,1
1541.6784,2.4145,820078208.0,7.6542,102.6263,1.1897,1.2099,1.2398,1.2837,268.9177,15.0793,0.283498,0.327546,,,,,,,,,,,,,,,,,,,,,,,,,1
1541.8308,2.4121,431459168.0,8.0744,93.4972,1.1963,1.2365,1.2629,1.3098,312.9287,10.1759,0.280409,0.324681,,,,,,,,,,,,,,,,,,,,,,,,,1
1541.9832,2.4125,42840104.0,8.4946,95.8675,1.2542,1.263,1.2861,1.3212,356.9397,5.2725,0.281576,0.321816,,,,,,,,,,,,,,,,,,,,,,,,,1
1542.1356,2.413,180.1351,8.4779,104.2041,1.2703,1.2703,1.2941,1.3157,362.886,26.508,0.281854,0.318842,,,,,,,,,,,,,,,,,,,,,,,,,1
1542.288,2.4119,147.4675,8.4072,99.9299,1.2606,1.2753,1.3001,1.3053,364.1164,50.9819,0.276051,0.315855,,,,,,,,,,,,,,,,,,,,,,,,,1
1542.4404,2.4094,114.7999,8.3364,103.9733,1.2436,1.2803,1.3061,1.3015,365.3467,75.4558,0.272135,0.312868,,,,,,,,,,,,,,,,,,,,,,,,,1
1542.5928,2.407,44956572.0,9.3298,94.6851,1.1875,1.2778,1.3028,1.2701,346.3813,132.8773,0.270106,0.311514,,,,,,,,,,,,,,,,,,,,,,,,,1
1542.7452,2.4007,118785952.0,11.0067,85.7389,1.1604,1.2705,1.2934,1.2523,314.4452,211.459,0.269646,0.31121,,,,,,,,,,,,,,,,,,,,,,,,,1
1542.8976,2.3993,192615328.0,12.6836,90.3999,1.144,1.2633,1.2841,1.1906,282.5092,290.0408,0.270219,0.310905,,,,,,,,,,,,,,,,,,,,,,,,,1
