STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_NORM,VSH_GR,VSH,RHOB_SR,NPHI_SR,PHIE_DEN,PHIT_DEN,PHIE,PHIT,RHO_MAT,IQUAL,RGBE,R_RGBE,RPBE,R_RPBE,SWARRAY_1,SWARRAY_2,SWARRAY_3,SWARRAY_4,SWARRAY_5,SWARRAY_6,SWARRAY_7,SWARRAY_8,SWARRAY_9,SWARRAY_10,SWARRAY_11,SWARRAY_12,SWARRAY_13,SWARRAY_14,SWARRAY_15,SWARRAY_16,SWARRAY_17,SWARRAY_18,SWARRAY_19,SWARRAY_20,SWARRAY_21,SWARRAY_22,SWARRAY_23,SWARRAY_24,SWARRAY_25,SWGRAD,CT,FTEMP,DNS,DNSV,A,M,N,RTSH,RW,RWA,R0,RTR0,GROUP_ID,RT_R0_GRAD,PHIE_RTR0_GRAD,FLUID_RTROPHIE,RW_TEMP,SW,VSH_DN,VSH_DIFF
ABAB,ABB-041,1469.5932,8.829,-112.4203,47.239,14.474,0.2801,2.129,BTL,,0.1915444444444444,0.1915444444444444,2.0529466334987148,0.2635388463600006,0.274671946360061,0.2926292380267276,0.2425366666666666,0.2604939583333333,2.594767132019198,1,,,,,1.0,1.0,0.8944187164920305,0.768754833732764,0.6837517305772945,0.6214543461867152,0.5733318386229665,0.5347484384572762,0.5029418047678257,0.4761510182527528,0.4531940104638039,0.433244159960583,0.4157038944052601,0.4001291739499271,0.3861823082460985,0.3736013504730953,0.3621796014933692,0.3517515026206914,0.3421826909538494,0.333362840388097,0.3252004113059991,0.3176187356953199,0.3105530542510459,0.3039482436307034,0.2977570517167302,-0.0117600273493213,0.0690894016857814,148.47966000000002,0.0596660818713449,0.1130408934372969,1,1.8,1.8,1,1,1.130284823694439,3.9392674040372646,10.534732595962735,5,0.6240341253729645,86.33074439922214,G,1.2951379310344828,0.7679864091148728,0.14183152671997004,0.049712917724474365
ABAB,ABB-041,1469.7456,8.817,-112.5648,47.351,14.411,0.2813,2.19,BTL,,0.1927888888888888,0.1927888888888888,2.127903343473413,0.2648921526793211,0.2523342098193671,0.2704081681527004,0.2421633333333333,0.2602372916666666,2.640825395671697,1,,,,,1.0,1.0,0.8979466352589982,0.7717870875922985,0.6864487007074715,0.6239055923539741,0.5755932717927811,0.5368576844031115,0.504925593567206,0.47802913426512,0.4549815755327275,0.4349530354284385,0.4173435845677445,0.4017074316450766,0.3877055543361131,0.3750749726048726,0.363608172015834,0.3531389408579765,0.3435323862530291,0.3346777469292162,0.3264831222029398,0.3188715416549211,0.3117779905454567,0.305147128105189,0.298931515836699,-0.0118064132538431,0.0693914370966622,148.48728,0.022793567251462,0.0765151494476934,1,1.8,1.8,1,1,1.1222489634108317,3.921160389969224,10.489839610030776,5,0.6240341253729645,86.33074439922214,G,1.2951379310344828,0.7685159490306911,0.2290925323136238,-0.03630364342473502
ABAB,ABB-041,1469.898,8.722,-112.7093,47.463,14.349,0.2705,2.236,BTL,,0.1940333333333333,0.1940333333333333,2.184480334174284,0.2513606848918483,0.2309101663799139,0.2491007913799139,0.2309101663799139,0.2491007913799139,2.6601006443551696,1,,,,,1.0,1.0,0.943939773751076,0.8113182902408742,0.721608841543947,0.6558622534609468,0.6050753590629648,0.5643557214353084,0.5307880578175819,0.5025139525295843,0.4782858898350856,0.4572314809512504,0.4387200679021555,0.4222830257967489,0.4075639674695232,0.3942864429557276,0.3822323088583892,0.3712268400449275,0.3611282343770017,0.3518200573520312,0.3432057011014895,0.3352042527544922,0.3277473674937905,0.3207768699766018,0.3142428918891952,-0.0124111418407731,0.0696912676841591,148.4949,0.0066929824561401,0.0607613352826508,1,1.8,1.8,1,1,1.0256971130941848,4.083650855466992,10.265349144533008,5,0.6240341253729645,86.33074439922214,G,1.2951379310344828,0.7910586959925091,0.26169689978826355,-0.06766356645493024
ABAB,ABB-041,1470.0504,8.667,-112.7238,47.239,14.286,0.2496,2.257,BTL,,0.1915444444444444,0.1915444444444444,2.211273209549072,0.2258125919105015,0.2155883490536262,0.2335456407202928,0.2155883490536262,0.2335456407202928,2.6517367545650696,1,,,,,1.0,1.0,1.0,0.8710816284666133,0.774764001217558,0.704174387126077,0.6496464278663125,0.6059272997732699,0.5698869744907379,0.539530141699019,0.5135173911418371,0.4909120721227281,0.4710370711299164,0.4533892434196586,0.437585949630524,0.4233303759369387,0.4103883100602443,0.3985721562629196,0.3877296669757037,0.3777358308962046,0.3684869238258541,0.3598960726888428,0.3518898982511234,0.3444059398570724,0.3373906557925981,-0.0133253715290716,0.0699986000279994,148.50252,0.0153122807017543,0.0686870922677062,1,1.8,1.8,1,1,0.9024770403513468,4.418483875875052,9.867516124124949,5,0.6240341253729645,86.33074439922214,G,1.2951379310344828,0.830481246717457,0.23128654046708624,-0.03974209602264184
ABAB,ABB-041,1470.2028,8.652,-112.7383,44.552,14.223,0.239,2.277,BTL,,0.1616888888888888,0.1616888888888888,2.2436327006680097,0.2175909235499946,0.2109768887281509,0.2261352220614843,0.2109768887281509,0.2261352220614843,2.6618750801621007,1,,,,,1.0,1.0,1.0,0.8922853663590643,0.7936231899244098,0.721315294071253,0.665460023434265,0.6206766909054069,0.583759077449326,0.5526633032028394,0.5260173541868092,0.5028617798944944,0.4825029846189291,0.4644255761427468,0.4482376009547725,0.4336350202319637,0.4203779205356268,0.408274139701033,0.3971677241715056,0.3869306196383452,0.3774565770641538,0.3686566087217861,0.360455549190924,0.3527894174080658,0.345603368354774,-0.0136497357172124,0.0703086549954299,148.51014,0.0142163742690057,0.0592717868745937,1,1.8,1.8,1,1,0.8641994794007182,5.312841107434143,8.910158892565857,5,0.6240341253729645,86.33074439922214,G,1.2951379310344828,0.9006822511487478,0.2287156717125433,-0.06702678282365451
ABAB,ABB-041,1470.3552,8.655,-112.4928,44.328,14.16,0.2527,2.275,BTL,,0.1592,0.1592,2.2418648905804,0.2342768791627021,0.2176637645313127,0.2325887645313127,0.2176637645313127,0.2325887645313127,2.6756528357152,1,,,,,1.0,1.0,1.0,0.8669853626141782,0.7711206695042373,0.700863003437247,0.6465914621872526,0.6030779235196475,0.567207078052716,0.5369929984238342,0.5111025729603669,0.4886035555705833,0.4688220168724905,0.4512571781630987,0.4355281994445487,0.4213396626598128,0.4084584569146814,0.3966978686415571,0.385906366216159,0.3759595262023895,0.3667541121652595,0.3582036595500468,0.3502351341889306,0.3427863691478431,0.3358040744928791,-0.0132627089007004,0.0706214689265536,148.51776,0.0016859649122807,0.04604783625731,1,1.8,1.8,1,1,0.9100773343781672,5.217496783110133,8.942503216889868,5,0.6240341253729645,86.33074439922214,G,1.2951379310344828,0.8899933498488457,0.26482397370666527,-0.10562397370666526
ABAB,ABB-041,1470.5076,8.657,-112.2473,47.239,14.066,0.2756,2.174,BTL,,0.1915444444444444,0.1915444444444444,2.1086083203914185,0.2579726776707302,0.2562791564057055,0.2742364480723721,0.2425366666666666,0.2604939583333333,2.623141729591249,1,,,,,1.0,1.0,0.908591562080358,0.7809364253663866,0.6945863738148951,0.6313018329692416,0.5824167822515446,0.5432219944183805,0.5109113568438892,0.4836960469221984,0.4603752652982846,0.4401092919932048,0.4222910856136237,0.4064695701124977,0.3923017041428912,0.3795213901080139,0.3679186535419891,0.3573253123366351,0.3476048744932415,0.338645265693593,0.330353495795082,0.3226516819138706,0.3154740385772083,0.3087645689651249,0.3024752722089939,-0.0119463752517782,0.0710934167496089,148.52537999999998,0.0378502923976608,0.0912251039636127,1,1.8,1.8,1,1,1.0984238171953833,3.9392674040372646,10.126732595962736,5,0.6240341253729645,86.33074439922214,G,1.2951379310344828,0.7790449417552169,0.19093006352115768,0.0006143809232867226
ABAB,ABB-041,1470.66,8.64,-111.4828,49.478,13.972,0.2845,2.14,BTL,,0.2164222222222222,0.2164222222222222,2.0543787754176,0.2664090638382348,0.2667079443177373,0.2869975276510706,0.2350733333333333,0.2553629166666666,2.5984445682331563,1,,,,,1.0,1.0,0.940911328519698,0.8087153349723978,0.7192937014090952,0.6537580483313742,0.6031340937018319,0.5625450970280014,0.5290851286612203,0.5009017352827236,0.4767514035653201,0.4557645436141148,0.4373125207953435,0.4209282137088081,0.4062563785871734,0.3930214524010641,0.3810059916237198,0.3700358316938056,0.3599696254172701,0.3506913118487488,0.3421045930670729,0.334128815794401,0.3266958544843969,0.3197477204384309,0.313234705335455,-0.0123713231316046,0.071571714858288,148.53300000000002,0.0488333333333332,0.1091404613385315,1,1.8,1.8,1,1,1.0313940819530292,3.5992529181389945,10.372747081861004,5,0.6240341253729645,86.33074439922214,G,1.2951379310344828,0.7590087899360641,0.16943320797648778,0.04698901424573443
ABAB,ABB-041,1470.8124,8.625,-110.7182,50.485,13.898,0.3037,2.159,BTL,,0.2276111111111111,0.2276111111111111,2.073246781270229,0.2900561029993527,0.2646414508615062,0.2859799925281729,0.2317166666666666,0.2530552083333333,2.632630372512452,1,,,,,1.0,1.0,0.9573356100298694,0.822832040681613,0.7318494884236088,0.6651698635576058,0.6136622315221363,0.5723647248246936,0.5383206887321662,0.5096453340256148,0.485073440961602,0.4637202403304567,0.4449461242303935,0.4282758173224278,0.4133478748046928,0.3998819234976626,0.3876567242419944,0.3764950723091261,0.3662531531884425,0.3568128800076071,0.3480762738962284,0.339961273715703,0.3323985647394637,0.3253291460345906,0.31870244158567,-0.0125872734423384,0.0719527989638797,148.54062,0.0185222222222222,0.0819471897335934,1,1.8,1.8,1,1,0.9997131335837262,3.460413516297141,10.43758648370286,5,0.6240341253729645,86.33074439922214,G,1.2951379310344828,0.7512353445699775,0.25001027083399147,-0.02239915972288037
ABAB,ABB-041,1470.9648,8.61,-109.9537,51.493,13.825,0.3128,2.165,BTL,,0.2388111111111111,0.2388111111111111,2.0755857065701315,0.3011290816996803,0.2633417771246392,0.2857303187913059,0.2283566666666666,0.2507452083333333,2.6445287509804563,1,,,,,1.0,1.0,0.9742414481495212,0.837362645344895,0.744773408572002,0.6769162708964331,0.6244990522123577,0.5824722621208184,0.5478270335550454,0.5186452933138774,0.4936394788099,0.4719091964642289,0.4528035433730605,0.4358388511867887,0.4206472922559377,0.4069435422182026,0.3945024549944785,0.3831436965518888,0.3727209127220324,0.3631139313058316,0.3542230431985816,0.3459647381227242,0.3382684773049376,0.3310742178995071,0.3243304907560305,-0.0128095553724729,0.0723327305605786,148.54824000000002,0.0059134502923975,0.0724593534762832,1,1.8,1.8,1,1,0.9686564862640212,3.3294025525345488,10.49559744746545,5,0.6240341253729645,86.33074439922214,G,1.2951379310344828,0.7436388797054025,0.28406914641468933,-0.04525803530357822
