STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_NORM,VSH_GR,VSH,RHOB_SR,NPHI_SR,PHIE_DEN,PHIT_DEN,PHIE,PHIT,RHO_MAT,SWARRAY_1,SWARRAY_2,SWARRAY_3,SWARRAY_4,SWARRAY_5,SWARRAY_6,SWARRAY_7,SWARRAY_8,SWARRAY_9,SWARRAY_10,SWARRAY_11,SWARRAY_12,SWARRAY_13,SWARRAY_14,SWARRAY_15,SWARRAY_16,SWARRAY_17,SWARRAY_18,SWARRAY_19,SWARRAY_20,SWARRAY_21,SWARRAY_22,SWARRAY_23,SWARRAY_24,SWARRAY_25,SWGRAD,CT,FTEMP,IQUAL,RGBE,R_RGBE,RPBE,R_RPBE,RW_TEMP,SW
ABAB,ABB-051,1373.2764,,-19.3569,72.275,0.751,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.3315579227696406,143.66382,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1373.4288,,-19.4763,72.275,0.757,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.321003963011889,143.67144000000002,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1373.5812,,-19.5956,72.275,0.763,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.310615989515072,143.67906,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1373.7336,,-19.715,72.275,0.771,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.297016861219196,143.68668000000002,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1373.886,,-19.8343,72.275,0.779,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.2836970474967908,143.6943,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1374.0384,,-19.9536,72.275,0.787,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.2706480304955527,143.70192,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1374.1908,,-19.898,72.275,0.796,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.2562814070351758,143.70954,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1374.3432,,-19.8423,72.275,0.804,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.243781094527363,143.71716,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1374.4956,,-19.7857,72.275,0.812,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.231527093596059,143.72478,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1374.648,,-19.73,72.275,0.82,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.2195121951219512,143.73239999999998,1,,,,,1.2951379310344828,1.0
