STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,VSH_DN,VSH_GR
ABAB,ABB-137,1379.0676,9.774,-7.74,79.753,1.429,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1379.22,9.73,-7.8,79.753,1.429,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1379.3724,9.686,-7.861,79.753,1.43,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1379.5248,9.642,-7.931,79.753,1.43,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1379.6772,9.574,-8.002,79.753,1.443,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1379.8296,9.507,-8.072,79.753,1.457,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1379.982,9.438,-8.143,79.753,1.47,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1380.1344,9.37,-8.144,79.753,1.483,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1380.2868,9.302,-8.145,79.753,1.497,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1380.4392,9.288,-8.146,79.753,1.51,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1380.5916,9.274,-8.147,79.753,1.495,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1380.744,9.307,-8.141,79.753,1.479,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1380.8964,9.341,-8.134,79.753,1.439,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1381.0488,9.375,-8.128,79.753,1.401,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1381.2012,9.4,-8.122,79.753,1.363,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1381.3536,9.425,-8.116,79.753,1.327,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1381.506,9.45,-8.17,79.753,1.305,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1381.6584,9.431,-8.224,79.753,1.283,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1381.8108,9.411,-8.278,79.753,1.262,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1381.9632,9.392,-8.333,79.753,1.254,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1382.1156,9.372,-8.387,79.753,1.247,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1382.268,9.329,-8.441,79.753,1.225,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1382.4204,9.285,-8.398,79.753,1.204,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1382.5728,9.242,-8.355,79.753,1.183,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1382.7252,9.241,-8.313,79.753,1.163,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1382.8776,9.24,-8.27,79.753,1.138,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1383.03,9.239,-8.227,79.753,1.114,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1383.1824,9.238,-8.184,79.753,1.09,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1383.3348,9.212,-8.141,79.753,1.088,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1383.4872,9.185,-7.922,79.753,1.086,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1383.6396,9.159,-7.703,79.753,1.129,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1383.792,9.118,-7.484,79.753,1.174,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1383.9444,9.077,-7.265,79.753,1.221,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1384.0968,9.036,-7.046,79.753,1.29,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1384.2492,8.965,-6.866,79.753,1.364,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1384.4016,8.893,-6.686,79.753,1.441,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1384.554,8.821,-6.506,79.753,1.48,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1384.7064,8.752,-6.326,79.753,1.52,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1384.8588,8.682,-6.146,79.753,1.532,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1385.0112,8.669,-6.592,79.753,1.544,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1385.1636,8.656,-7.039,79.753,1.539,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
