DEPTH,CALI,DT,GR_CAL,HDRA,PEFZ,RHOZ,RLA3,RLA5,RXOZ,SP,TENS,TNPH,CALI_TR,DT_TR,GR_CAL_TR,HDRA_TR,PEFZ_TR,RHOZ_TR,RLA3_TR,RLA5_TR,RXOZ_TR,SP_TR,TENS_TR,TNPH_TR,CALI_TR_TR,DT_TR_TR,GR_CAL_TR_TR,HDRA_TR_TR,PEFZ_TR_TR,RHOZ_TR_TR,RLA3_TR_TR,RLA5_TR_TR,RXOZ_TR_TR,SP_TR_TR,TENS_TR_TR,TNPH_TR_TR,GR_CAL_TR_SM,GR,NPHI,RHOB,RT,MISSING_FLAG
614.6292,320.9887,461.4322,66.8999,72.31,5.41,2.2221401000000003,1.7475,1.9457,0.7731,-463.5875,855.0216,0.40428,320.9887,461.4322,66.8999,72.31,5.41,2222.1401,1.7475,1.9457,0.7731,-463.5875,855.0216,0.40428,320.9887,461.4322,66.8999,72.31,5.41,2222.1401,1.7475,1.9457,0.7731,-463.5875,855.0216,0.40428,69.00426,66.8999,0.40428,2.2221401000000003,1.9457,0.0
614.7816,323.2259,467.3915,70.866,70.35,5.6369,2.1814001,1.6328,1.8077,0.7074,-464.3523,903.556,0.3848,323.2259,467.3915,70.866,70.35,5.6369,2181.4001,1.6328,1.8077,0.7074,-464.3523,903.556,0.3848,323.2259,467.3915,70.866,70.35,5.6369,2181.4001,1.6328,1.8077,0.7074,-464.3523,903.556,0.3848,70.63654,70.866,0.3848,2.1814001,1.8077,0.0
614.934,325.1835,481.2646,72.7344,69.96,5.897,2.1515601,1.5728,1.735,0.6618,-464.9562,880.4228,0.34911,325.1835,481.2646,72.7344,69.96,5.897,2151.5601,1.5728,1.735,0.6618,-464.9562,880.4228,0.34911,325.1835,481.2646,72.7344,69.96,5.897,2151.5601,1.5728,1.735,0.6618,-464.9562,880.4228,0.34911,73.82916,72.7344,0.34911,2.1515601,1.735,0.0
615.0864,322.387,481.585,75.7826,72.89,6.1858,2.1433401,1.396,1.5215,0.6728,-465.9261,860.9184,0.4042,322.387,481.585,75.7826,72.89,6.1858,2143.3401,1.396,1.5215,0.6728,-465.9261,860.9184,0.4042,322.387,481.585,75.7826,72.89,6.1858,2143.3401,1.396,1.5215,0.6728,-465.9261,860.9184,0.4042,78.91956,75.7826,0.4042,2.1433401,1.5215,0.0
615.2388,320.1495,468.3847,82.8629,72.06,6.4254,2.16079,1.3626,1.4797,0.7205,-467.025,937.1218,0.43981,320.1495,468.3847,82.8629,72.06,6.4254,2160.79,1.3626,1.4797,0.7205,-467.025,937.1218,0.43981,320.1495,468.3847,82.8629,72.06,6.4254,2160.79,1.3626,1.4797,0.7205,-467.025,937.1218,0.43981,84.08212,82.8629,0.43981,2.16079,1.4797,0.0
615.3912,320.7088,475.2092,92.3519,80.07,6.5337,2.1884402,1.2771,1.3762,0.7721,-467.7216,902.8757,0.54149,320.7088,475.2092,92.3519,80.07,6.5337,2188.4402,1.2771,1.3762,0.7721,-467.7216,902.8757,0.54149,320.7088,475.2092,92.3519,80.07,6.5337,2188.4402,1.2771,1.3762,0.7721,-467.7216,902.8757,0.54149,89.43804,92.3519,0.54149,2.1884402,1.3762,0.0
615.5436,326.582,495.5862,96.6788,80.92,6.6824,2.1957,1.2212,1.3123,0.8085,-467.7727,845.2695,0.54463,326.582,495.5862,96.6788,80.92,6.6824,2195.7,1.2212,1.3123,0.8085,-467.7727,845.2695,0.54463,326.582,495.5862,96.6788,80.92,6.6824,2195.7,1.2212,1.3123,0.8085,-467.7727,845.2695,0.54463,92.81094,96.6788,0.54463,2.1957,1.3123,0.0
615.696,328.8192,491.9978,99.514,83.69,6.794,2.1953699,1.2116,1.3089,0.8092,-467.8375,922.1533,0.52714,328.8192,491.9978,99.514,83.69,6.794,2195.3699,1.2116,1.3089,0.8092,-467.8375,922.1533,0.52714,328.8192,491.9978,99.514,83.69,6.794,2195.3699,1.2116,1.3089,0.8092,-467.8375,922.1533,0.52714,94.69566,99.514,0.52714,2.1953699,1.3089,0.0
615.8484,329.0989,455.2165,92.6471,90.3,6.9636,2.21001,1.2984,1.4171,0.8445,-467.9034,901.7416,0.49472,329.0989,455.2165,92.6471,90.3,6.9636,2210.01,1.2984,1.4171,0.8445,-467.9034,901.7416,0.49472,329.0989,455.2165,92.6471,90.3,6.9636,2210.01,1.2984,1.4171,0.8445,-467.9034,901.7416,0.49472,93.39444,92.6471,0.49472,2.21001,1.4171,0.0
616.0008,322.1073,412.0914,92.2865,74.26,7.2392,2.2103101,1.6446,1.8112,0.9063,-467.9937,838.6923,0.42194,322.1073,412.0914,92.2865,74.26,7.2392,2210.3101,1.6446,1.8112,0.9063,-467.9937,838.6923,0.42194,322.1073,412.0914,92.2865,74.26,7.2392,2210.3101,1.6446,1.8112,0.9063,-467.9937,838.6923,0.42194,91.69982,92.2865,0.42194,2.2103101,1.8112,0.0
