STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_RAW,GR_NORM,GR_RAW_NORM,VSH_DN
ABAB,ABB-096,1380.5916,,-9.1096,63.623,0.891,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1380.744,,-9.2766,63.623,0.888,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1380.8964,,-9.4426,63.623,0.92,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1381.0488,,-9.2347,63.623,0.952,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1381.2012,,-9.0267,63.623,0.984,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1381.3536,,-8.8187,63.623,1.016,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1381.506,,-8.6107,63.623,1.048,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1381.6584,,-8.4027,63.623,1.08,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1381.8108,,-8.3297,63.623,1.112,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1381.9632,,-8.2557,63.623,1.288,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1382.1156,,-8.1817,63.623,1.465,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1382.268,,-8.1077,63.623,1.641,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1382.4204,,-8.5268,63.623,1.659,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1382.5728,,-8.9448,63.623,1.677,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1382.7252,,-9.3638,63.623,1.695,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1382.8776,,-9.7828,63.623,1.633,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1383.03,,-11.1298,63.623,1.571,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1383.1824,,-12.4778,63.623,1.51,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1383.3348,,-12.8928,63.623,1.448,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1383.4872,,-13.3088,63.623,1.451,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1383.6396,,-13.7249,63.623,1.455,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1383.792,,-14.1399,63.623,1.458,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1383.9444,,-14.5559,63.623,1.461,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1384.0968,,-14.8089,63.623,1.483,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1384.2492,,-13.9329,63.623,1.505,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1384.4016,,-13.3929,63.623,1.528,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1384.554,,-12.8529,63.623,1.55,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1384.7064,,-12.3139,63.623,1.556,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1384.8588,,-11.7739,63.623,1.563,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1385.0112,,-11.761,63.623,1.569,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
