DEPTH,STRUKTUR,WELL_NAME,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_RAW,GR_NORM,GR_RAW_NORM,VSH_DN,VSH_GR,VSH,RHOB_SR,NPHI_SR,PHIE_DEN,PHIT_DEN,PHIE,PHIT,RHO_MAT,RW_TEMP,SW,RWA_FULL,RWA_SIMPLE,RWA_TAR,RGSA,GAS_EFFECT_RT,RT_RATIO,RT_DIFF,NGSA,GAS_EFFECT_NPHI,NPHI_DIFF,DGSA,GAS_EFFECT_RHOB,DENS_DIFF,RGSA_ANOM,NGSA_ANOM,DGSA_ANOM,SCORE,ZONA,IQUAL
1451.3052,ABAB,ABB-136,8.326,-4.0571,67.338,1.602,0.3095,2.419,GUF,,41.40842105263157,41.40842105263157,0.5484851221070763,0.4148666666666666,0.4148666666666666,2.3970206220804373,0.2807850062663781,0.1373334305829574,0.1762271805829574,0.1373334305829574,0.1762271805829574,2.8254656338972315,1.2951379310344828,1.0,0.0399852783725005,0.0391729326184246,0.0402806267601609,1.637465251668779,False,0.9783413714381812,-0.035465251668779,0.2907632939698303,False,-0.0187367060301696,2.402126583183044,False,-0.0168734168169559,False,False,False,0,Non Prospek,1
1451.4576,ABAB,ABB-136,8.299,-4.2071,63.892,1.646,0.3169,2.407,GUF,,37.78105263157895,37.78105263157895,0.5524345011530022,0.3765777777777778,0.3765777777777778,2.38102587866258,0.2969059670635204,0.1542702222813607,0.1895743889480273,0.1542702222813607,0.1895743889480273,2.835145586783707,1.2951379310344828,1.0,0.0514242058666521,0.0501988226140529,0.0521710970582381,1.4518655401257647,True,1.1337138009745853,0.1941344598742351,0.2971067719642404,False,-0.0197932280357596,2.4001995486033243,False,-0.0068004513966757,True,False,False,1,Zona Lemah,1
1451.61,ABAB,ABB-136,8.272,-4.3561,60.447,1.704,0.3178,2.378,GUF,,34.154736842105265,34.154736842105265,0.5196302058733644,0.3383,0.3383,2.3411893607374945,0.3013374641076017,0.1725566150718355,0.2042722400718355,0.1725566150718355,0.2042722400718355,2.814324853090537,1.2951379310344828,1.0,0.0658705980372938,0.0641511510345748,0.0672064488471801,1.2389495337105094,True,1.3753586838171838,0.4650504662894905,0.302307737983968,False,-0.0154922620160319,2.4041943472426466,True,0.0261943472426464,True,False,True,2,Zona Menarik,1
1451.7624,ABAB,ABB-136,8.266,-4.5061,57.788,1.764,0.3046,2.356,GUF,,31.355789473684208,31.355789473684208,0.4601269691328865,0.3087555555555555,0.3087555555555555,2.3140133736256665,0.2843213527936732,0.1793327081202249,0.2082785414535582,0.1793327081202249,0.2082785414535582,2.774337996168091,1.2951379310344828,1.0,0.0728808688862584,0.0709164485858127,0.0745940306537963,1.087714051388299,True,1.621749758356552,0.676285948611701,0.3032776355786346,False,-0.0013223644213653,2.416136497658285,True,0.0601364976582852,True,False,True,2,Zona Menarik,1
1451.9148,ABAB,ABB-136,8.26,-4.5011,55.13,1.783,0.2914,2.363,GUF,,28.55789473684211,28.55789473684211,0.4356722140416191,0.2792222222222222,0.2792222222222222,2.329297055649761,0.2686989363342069,0.1780711383849762,0.2042482217183095,0.1780711383849762,0.2042482217183095,2.765461684511108,1.2951379310344828,1.0,0.0715803845440757,0.0696434810875857,0.0734352668011759,0.973759845786278,True,1.831046954457532,0.809240154213722,0.2990873788552024,True,0.0076873788552024,2.440917753509216,True,0.0779177535092157,True,True,True,3,Zona Prospek Kuat,1
1452.0672,ABAB,ABB-136,8.254,-4.4971,52.471,1.802,0.2735,2.369,GUF,,25.758947368421047,25.758947368421047,0.3982892506876339,0.2496777777777777,0.2496777777777777,2.3420463800737465,0.2480438034029825,0.1746035180061648,0.1980108096728314,0.1746035180061648,0.1980108096728314,2.7490611558180764,1.2951379310344828,1.0,0.0683717032412138,0.0665820911843594,0.070200010711277,0.9120481627898804,True,1.9757728522667373,0.8899518372101195,0.287357731399414,True,0.0138577313994139,2.4833966627359523,True,0.114396662735952,True,True,True,3,Zona Prospek Kuat,1
1452.2196,ABAB,ABB-136,8.248,-4.493,57.091,1.821,0.2647,2.371,GUF,,30.6221052631579,30.6221052631579,0.378763231739505,0.3010111111111111,0.3010111111111111,2.336979605461857,0.2279665866569171,0.1561675937152659,0.1843873853819325,0.1561675937152659,0.1843873853819325,2.7216234830838304,1.2951379310344828,1.0,0.0569701637890243,0.0554349127880138,0.0583257679179813,1.01343367545154,True,1.7968615451708223,0.8075663245484599,0.3051082546420471,True,0.0404082546420471,2.4164794845790105,True,0.0454794845790105,True,True,True,3,Zona Prospek Kuat,1
1452.372,ABAB,ABB-136,8.257,-4.488,64.284,1.82,0.2559,2.372,GUF,,38.19368421052632,38.19368421052632,0.3580286444586448,0.3809333333333334,0.3809333333333334,2.32400387680379,0.1979969847081628,0.1330807586014046,0.1687932586014045,0.1330807586014046,0.1687932586014045,2.686564678242888,1.2951379310344828,1.0,0.0425806310527827,0.0416679891798775,0.0429774411166377,1.3689436128510717,True,1.3294923055373498,0.4510563871489286,0.3012703735437352,True,0.0453703735437351,2.391430662985819,True,0.0194306629858189,True,True,True,3,Zona Prospek Kuat,1
1452.5244,ABAB,ABB-136,8.266,-4.544,71.478,1.819,0.2854,2.307,GUF,,45.76631578947368,45.76631578947368,0.35303114494485,0.4608666666666666,0.4608666666666666,2.184759490540373,0.230178063558798,0.1499028389152072,0.1931090889152072,0.1499028389152072,0.1931090889152072,2.6410413430946926,1.2951379310344828,1.0,0.0544992614055499,0.0540274424740674,0.0537982422525059,1.7273310507381785,True,1.0530697049778888,0.0916689492618216,0.287380569167821,True,0.001980569167821,2.400800371824974,True,0.0938003718249747,True,True,True,3,Zona Prospek Kuat,1
1452.6768,ABAB,ABB-136,8.275,-4.6,72.856,1.817,0.3131,2.297,GUF,,47.216842105263154,47.216842105263154,0.4100165309921376,0.4761777777777777,0.4761777777777777,2.1579161717291706,0.279556253181741,0.1608589920941157,0.2055006587607823,0.1571466666666666,0.2017883333333333,2.6710844842551835,1.2951379310344828,1.0,0.0598065847428136,0.059469310318622,0.0587710847730632,1.746887129426324,True,1.0401358905178384,0.0701128705736759,0.286496880460894,False,-0.0266031195391059,2.4002792507255237,True,0.1032792507255231,True,False,True,2,Zona Menarik,1
