STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_SM
ABAB,ABB-064,1380.2868,,-9.34,45.06,1.113,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1380.4392,,-9.173,45.06,1.07,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1380.5916,,-9.622,45.06,1.026,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1380.744,,-10.021,45.06,0.983,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1380.8964,,-10.421,45.06,0.946,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1381.0488,,-10.617,45.06,0.909,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1381.2012,,-10.812,45.06,0.872,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1381.3536,,-11.008,45.06,0.858,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1381.506,,-11.203,45.06,0.845,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1381.6584,,-11.238,45.06,0.831,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1381.8108,,-11.272,45.06,0.818,0.1624,2.406,GUF,45.06
