STRUKTUR,WELL_NAME,DEPTH,GR,NPHI,RHOB,RT,MARKER,ZONE,CALI,DT,HLLD,HLLS,LLS,MSFL,PEF,RHOZ,RXOZ,SP,DRHO
BNG,BNG-017,1399.7938,40.9908,,,,,,,,,,,,,,,,
BNG,BNG-017,1399.9462,41.9156,0.279,2.397,,,,,,,,,,,,,,
BNG,BNG-017,1400.0986,41.4571,0.284,2.415,,,,,,,,,,,,,,
BNG,BNG-017,1400.251,40.5498,0.289,2.425,,,,,,,,,,,,,,
BNG,BNG-017,1400.4034,40.1028,0.288,2.411,,,,,,,,,,,,,,
BNG,BNG-017,1400.5558,39.8958,0.284,2.386,,,,,,,,,,,,,,
BNG,BNG-017,1400.7082,40.3834,0.278,2.398,,,,,,,,,,,,,,
BNG,BNG-017,1400.8606,41.0892,0.279,2.408,,,,,,,,,,,,,,
BNG,BNG-017,1401.013,41.1016,0.293,2.416,,,,,,,,,,,,,,
BNG,BNG-017,1401.1654,40.883,0.297,2.393,,,,,,,,,,,,,,
BNG,BNG-017,1401.3178,40.6795,0.299,2.374,,,,,,,,,,,,,,
BNG,BNG-017,1401.4702,41.1604,0.308,2.351,,,,,,,,,,,,,,
BNG,BNG-017,1401.6226,41.403,0.302,2.365,,,,,,,,,,,,,,
BNG,BNG-017,1401.775,41.1737,0.298,2.345,,,,,,,,,,,,,,
BNG,BNG-017,1401.9274,40.4845,0.284,2.344,,,,,,,,,,,,,,
BNG,BNG-017,1402.0798,39.0774,0.282,2.351,,,,,,,,,,,,,,
BNG,BNG-017,1402.2322,36.3,0.29,2.342,,,,,,,,,,,,,,
BNG,BNG-017,1402.3846,32.8162,0.302,2.343,,,,,,,,,,,,,,
BNG,BNG-017,1402.537,29.5809,0.293,2.323,,,,,,,,,,,,,,
BNG,BNG-017,1402.6894,27.0772,0.281,2.34,,,,,,,,,,,,,,
BNG,BNG-017,1402.8418,26.6796,0.264,2.313,,,,,,,,,,,,,,
BNG,BNG-017,1402.9942,29.252,0.285,2.332,,,,,,,,,,,,,,
BNG,BNG-017,1403.1466,31.8294,0.29,2.327,,,,,,,,,,,,,,
BNG,BNG-017,1403.299,33.9297,0.305,2.304,,,,,,,,,,,,,,
BNG,BNG-017,1403.4514,35.1117,0.298,2.306,,,,,,,,,,,,,,
BNG,BNG-017,1403.6038,36.7202,0.291,2.321,,,,,,,,,,,,,,
BNG,BNG-017,1403.7562,36.0511,0.285,2.34,,,,,,,,,,,,,,
BNG,BNG-017,1403.9086,36.0838,0.283,2.33,,,,,,,,,,,,,,
BNG,BNG-017,1404.061,37.0354,0.292,2.363,,,,,,,,,,,,,,
BNG,BNG-017,1404.2134,37.9726,0.286,2.389,,,,,,,,,,,,,,
BNG,BNG-017,1404.3658,38.4311,0.272,2.402,,,,,,,,,,,,,,
BNG,BNG-017,1404.5182,37.5336,0.261,2.402,,,,,,,,,,,,,,
BNG,BNG-017,1404.6706,37.8164,0.276,2.372,,,,,,,,,,,,,,
BNG,BNG-017,1404.823,39.6777,0.295,2.349,,,,,,,,,,,,,,
BNG,BNG-017,1404.9754,40.3512,0.285,2.368,,,,,,,,,,,,,,
BNG,BNG-017,1405.1278,38.7799,0.278,2.387,,,,,,,,,,,,,,
BNG,BNG-017,1405.2802,39.7113,0.292,2.397,,,,,,,,,,,,,,
BNG,BNG-017,1405.4326,39.4359,0.279,2.392,,,,,,,,,,,,,,
BNG,BNG-017,1405.585,35.6998,0.262,2.411,,,,,,,,,,,,,,
BNG,BNG-017,1405.7374,31.1251,0.252,2.451,,,,,,,,,,,,,,
BNG,BNG-017,1405.8898,29.7979,0.22,2.453,,,,,,,,,,,,,,
BNG,BNG-017,1406.0422,31.7214,0.239,2.425,,,,,,,,,,,,,,
BNG,BNG-017,1406.1946,36.8514,0.256,2.425,,,,,,,,,,,,,,
BNG,BNG-017,1406.347,40.5695,0.274,2.404,,,,,,,,,,,,,,
BNG,BNG-017,1406.4994,42.4279,0.29,2.381,,,,,,,,,,,,,,
BNG,BNG-017,1406.6518,43.5737,0.294,2.404,,,,,,,,,,,,,,
BNG,BNG-017,1406.8042,42.6794,0.294,2.387,,,,,,,,,,,,,,
BNG,BNG-017,1406.9566,42.9456,0.289,2.404,,,,,,,,,,,,,,
BNG,BNG-017,1407.109,44.1216,0.282,2.388,,,,,,,,,,,,,,
BNG,BNG-017,1407.2614,44.8197,0.275,2.404,,,,,,,,,,,,,,
BNG,BNG-017,1407.4138,44.5699,0.275,2.372,,,,,,,,,,,,,,
BNG,BNG-017,1407.5662,42.7474,0.279,2.398,,,,,,,,,,,,,,
BNG,BNG-017,1407.7186,41.8388,0.283,2.385,,,,,,,,,,,,,,
BNG,BNG-017,1407.871,41.617,0.281,2.393,,,,,,,,,,,,,,
BNG,BNG-017,1408.0234,40.919,0.273,2.376,,,,,,,,,,,,,,
BNG,BNG-017,1408.1758,39.3095,0.27,2.379,,,,,,,,,,,,,,
BNG,BNG-017,1408.3282,37.941,0.273,2.38,,,,,,,,,,,,,,
BNG,BNG-017,1408.4806,37.0601,0.278,2.389,,,,,,,,,,,,,,
BNG,BNG-017,1408.633,38.4684,0.285,2.404,,,,,,,,,,,,,,
BNG,BNG-017,1408.7854,39.1439,0.288,2.386,,,,,,,,,,,,,,
