STRUKTUR,WELL_NAME,DEPTH,GR,NPHI,RHOB,RT,MARKER,ZONE,CALI,DT,HLLD,HLLS,LLS,MSFL,PEF,RHOZ,RXOZ,SP,DRHO
BNG,BNG-023,1490.0684,87.128,0.392,2.17,0.918,ABF,,,,,,,,,,,,
BNG,BNG-023,1490.2208,87.128,0.392,2.17,0.845,ABF,,,,,,,,,,,,
BNG,BNG-023,1490.3732,87.128,0.392,2.17,0.779,ABF,,,,,,,,,,,,
BNG,BNG-023,1490.5256,87.128,0.392,2.17,0.731,ABF,,,,,,,,,,,,
BNG,BNG-023,1490.678,87.128,0.392,2.17,0.711,ABF,,,,,,,,,,,,
BNG,BNG-023,1490.8304,87.128,0.392,2.17,0.712,ABF,,,,,,,,,,,,
BNG,BNG-023,1490.9828,87.128,0.392,2.17,0.712,ABF,,,,,,,,,,,,
BNG,BNG-023,1491.1352,87.128,0.392,2.17,0.713,ABF,,,,,,,,,,,,
BNG,BNG-023,1491.2876,87.128,0.392,2.17,0.713,ABF,,,,,,,,,,,,
BNG,BNG-023,1491.44,87.128,0.392,2.17,0.72,ABF,,,,,,,,,,,,
BNG,BNG-023,1491.5924,87.128,0.392,2.17,0.727,ABF,,,,,,,,,,,,
BNG,BNG-023,1491.7448,87.128,0.392,2.17,0.748,ABF,,,,,,,,,,,,
BNG,BNG-023,1491.8972,87.128,0.392,2.17,0.783,ABF,,,,,,,,,,,,
BNG,BNG-023,1492.0496,87.128,0.392,2.17,0.82,ABF,,,,,,,,,,,,
BNG,BNG-023,1492.202,87.128,0.392,2.17,0.892,ABF,,,,,,,,,,,,
BNG,BNG-023,1492.3544,87.128,0.392,2.17,0.934,ABF,,,,,,,,,,,,
BNG,BNG-023,1492.5068,85.967,0.392,2.17,0.979,ABF,,,,,,,,,,,,
BNG,BNG-023,1492.6592,90.858,0.392,2.17,0.997,ABF,,,,,,,,,,,,
BNG,BNG-023,1492.8116,90.502,0.392,2.17,0.998,ABF,,,,,,,,,,,,
BNG,BNG-023,1492.964,85.731,0.392,2.17,1.017,ABF,,,,,,,,,,,,
BNG,BNG-023,1493.1164,79.745,0.392,2.17,1.046,ABF,,,,,,,,,,,,
BNG,BNG-023,1493.2688,74.974,0.392,2.17,1.056,ABF,,,,,,,,,,,,
BNG,BNG-023,1493.4212,78.649,0.392,2.17,1.047,ABF,,,,,,,,,,,,
BNG,BNG-023,1493.5736,82.736,0.392,2.17,1.057,ABF,,,,,,,,,,,,
BNG,BNG-023,1493.726,85.616,0.392,2.17,1.058,ABF,,,,,,,,,,,,
BNG,BNG-023,1493.8784,85.671,0.395,2.17,1.039,ABF,,,,,,,,,,,,
BNG,BNG-023,1494.0308,79.282,0.399,2.215,1.03,ABF,,,,,,,,,,,,
BNG,BNG-023,1494.1832,73.296,0.409,2.188,1.012,ABF,,,,,,,,,,,,
BNG,BNG-023,1494.3356,62.09,0.376,2.146,1.004,ABF,,,,,,,,,,,,
BNG,BNG-023,1494.488,60.134,0.331,2.109,1.004,ABF,,,,,,,,,,,,
BNG,BNG-023,1494.6404,65.83,0.297,2.097,0.996,ABF,,,,,,,,,,,,
BNG,BNG-023,1494.7928,73.518,0.304,2.138,0.952,ABF,,,,,,,,,,,,
BNG,BNG-023,1494.9452,79.222,0.332,2.184,0.909,ABF,,,,,,,,,,,,
BNG,BNG-023,1495.0976,78.866,0.358,2.18,0.861,ABF,,,,,,,,,,,,
BNG,BNG-023,1495.25,76.92,0.384,2.152,0.854,ABF,,,,,,,,,,,,
BNG,BNG-023,1495.4024,75.76,0.389,2.133,0.854,ABF,,,,,,,,,,,,
BNG,BNG-023,1495.5548,73.804,0.394,2.078,0.855,ABF,,,,,,,,,,,,
BNG,BNG-023,1495.7072,77.882,0.391,2.108,0.855,ABF,,,,,,,,,,,,
BNG,BNG-023,1495.8596,81.155,0.382,2.138,0.856,ABF,,,,,,,,,,,,
BNG,BNG-023,1496.012,85.241,0.378,2.201,0.856,ABF,,,,,,,,,,,,
BNG,BNG-023,1496.1644,82.07,0.385,2.169,0.857,ABF,,,,,,,,,,,,
BNG,BNG-023,1496.3168,78.908,0.388,2.0309999,0.857,ABF,,,,,,,,,,,,
BNG,BNG-023,1496.4692,74.539,0.381,1.971,0.858,ABF,,,,,,,,,,,,
