STRUKTUR,WELL_NAME,DEPTH,GR,NPHI,RHOB,RT,MARKER,ZONE,CALI,DT,HLLD,HLLS,LLS,MSFL,PEF,RHOZ,RXOZ,SP,DRHO
BNG,BNG-045,1598.2188,73.25,0.266,2.457,1.584,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1598.3712,73.25,0.266,2.457,1.5849,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1598.5236,73.25,0.266,2.457,1.5857,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1598.676,73.25,0.266,2.457,1.6015,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1598.8284,77.125,0.283,2.398,1.6621,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1598.9808,76.125,0.279,2.391,1.7408,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1599.1332,77.438,0.266,2.408,1.8232,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1599.2856,79.625,0.25,2.486,1.7748,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1599.438,77.875,0.247,2.477,1.5913,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1599.5904,80.438,0.264,2.352,1.4398,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1599.7428,83.813,0.264,2.236,1.3389,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1599.8952,87.5,0.275,2.189,1.2801,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1600.0476,86.438,0.26,2.252,1.2574,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1600.2,81.563,0.278,2.314,1.2465,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1600.3524,80.875,0.298,2.313,1.2358,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1600.5048,81.563,0.305,2.275,1.171,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1600.6572,83.813,0.303,2.27,1.1505,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1600.8096,81.875,0.282,2.285,1.1404,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1600.962,86.938,0.286,2.297,1.1462,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1601.1144,85.875,0.278,2.311,1.152,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1601.2668,92.063,0.274,2.281,1.1422,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1601.4192,86.313,0.273,2.227,1.1536,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1601.5716,83.688,0.283,2.189,1.1972,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1601.724,78.188,0.289,2.24,1.2197,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1601.8764,80.938,0.285,2.287,1.2778,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1602.0288,86.063,0.272,2.352,1.3018,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1602.1812,85.688,0.275,2.361,1.2793,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1602.3336,83.063,0.276,2.35,1.2566,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1602.486,76.688,0.27,2.295,1.2457,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1602.6384,78.375,0.276,2.283,1.3173,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1602.7908,78.438,0.265,2.363,1.3418,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1602.9432,80.5,0.262,2.451,1.3429,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1603.0956,74.75,0.262,2.49,1.3194,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1603.248,73.125,0.271,2.475,1.2961,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1603.4004,73.563,0.305,2.484,1.2969,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1603.5528,79.563,0.294,2.438,1.3094,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1603.7052,80.063,0.275,2.391,1.347,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1603.8576,80.625,0.251,2.377,1.3353,ABF_1,,,,,,,,,,,,
BNG,BNG-045,1604.01,77.938,0.249,2.424,1.3237,ABF_1,,,,,,,,,,,,
